vAveCoor	vOM	Ea	ModelStdDv
0.00000000000000000000	0.00000000000000000000	1152.01003979675188104714	541.31961051642628002245
0.00000000000000000000	0.01000000000000000000	1169.67049916912020002258	533.21004959339390327777
0.00000000000000000000	0.02000000000000000000	1151.23236457068147231553	531.70807862150847339366
0.00000000000000000000	0.03000000000000000000	1147.00666291210161751302	525.66632275476735602915
0.00000000000000000000	0.04000000000000000000	1159.00505206315554562746	514.58946059352778895635
0.00000000000000000000	0.05000000000000000000	1134.18301297484032807983	507.38581180600448869433
0.00000000000000000000	0.06000000000000000000	1138.39843850126142810186	494.36878087775972978601
0.00000000000000000000	0.07000000000000000000	1144.65130585325895695714	482.24250480973619156777
0.00000000000000000000	0.08000000000000000000	1122.44981892524817701506	473.53576321067298646184
0.00000000000000000000	0.09000000000000000000	1136.91051824625789035128	464.67984669188175592125
0.00000000000000000000	0.10000000000000000000	1135.79657484114542487230	458.78105173416809881015
0.00000000000000000000	0.11000000000000000000	1117.61558948556117898399	453.95009218916482127137
0.00000000000000000000	0.12000000000000000000	1134.64375862319341770057	450.66348285302325751833
0.00000000000000000000	0.13000000000000000000	1120.70987628176955974713	445.69659987566763009736
0.00000000000000000000	0.14000000000000000000	1103.44041126233598759665	439.72014592700800983405
0.00000000000000000000	0.15000000000000000001	1111.80300795562852755882	433.36971468184191658146
0.00000000000000000000	0.16000000000000000000	1080.98048264825053721427	423.48251337759232160174
0.00000000000000000000	0.17000000000000000000	1065.06430169738660418410	413.68004982698370211591
0.00000000000000000000	0.18000000000000000001	1066.04291174566192978990	404.63575324361081242408
0.00000000000000000000	0.19000000000000000000	1033.16944628281926266133	395.10312566491619040709
0.00000000000000000000	0.20000000000000000000	1032.48240374616781944717	387.91231354351556842586
0.00000000000000000000	0.20999999999999999999	1034.19352564873072175544	382.91577292002127269610
0.00000000000000000000	0.22000000000000000000	1009.19031800205183529995	377.37390303412750619527
0.00000000000000000000	0.23000000000000000000	1021.68972163501059952084	374.90243537935950995932
0.00000000000000000000	0.24000000000000000000	1017.59689909337881652540	371.64236284738944632311
0.00000000000000000000	0.25000000000000000000	997.26848985756615162401	366.42087851231357692461
0.00000000000000000000	0.25999999999999999999	1011.93888977740608614564	364.46552276644372583836
0.00000000000000000000	0.27000000000000000001	996.28471646270393313749	358.06832226070657129724
0.00000000000000000000	0.28000000000000000000	981.90258414795382929663	351.89425321326210616135
0.00000000000000000000	0.28999999999999999999	997.43348090277787376667	353.04960366803527080370
0.00000000000000000000	0.30000000000000000001	978.64334806508478614706	346.58347750372518569772
0.00000000000000000000	0.31000000000000000000	979.02257221139862497505	346.31558950604696042741
0.00000000000000000000	0.31999999999999999999	995.44533946285593201120	353.15379200293249853382
0.00000000000000000000	0.33000000000000000001	976.13775306974788309455	345.93240890011371929669
0.00000000000000000000	0.34000000000000000000	986.16971052774460226864	350.46178850916802488547
0.00000000000000000000	0.34999999999999999999	993.10175536229826342982	354.34043208398245836110
0.00000000000000000000	0.36000000000000000001	969.54721290862824673029	345.08388646024037968441
0.00000000000000000000	0.37000000000000000000	979.38387559563147510833	350.49209191550969694218
0.00000000000000000000	0.38000000000000000000	968.17751191408077454659	347.51725047809714319591
0.00000000000000000000	0.38999999999999999999	940.33424467158272769263	338.75569576471068239387
0.00000000000000000000	0.40000000000000000001	947.92726416427085278649	344.62041495872052995764
0.00000000000000000000	0.41000000000000000000	926.84547575818902748201	339.20876008924253997012
0.00000000000000000000	0.41999999999999999999	910.74172565610985979889	335.96292881395577892278
0.00000000000000000000	0.43000000000000000001	925.10191501344595915723	343.65160894544845593401
0.00000000000000000000	0.44000000000000000000	904.96291637575301075591	337.05996386405435261135
0.00000000000000000000	0.44999999999999999999	904.41012385047480409694	337.79887861709585308856
0.00000000000000000000	0.46000000000000000001	918.00780445350859609865	344.53969845018949000326
0.00000000000000000000	0.47000000000000000000	895.53331446745934912856	337.02111111561743728160
0.00000000000000000000	0.47999999999999999999	902.75892259607689310785	342.06488585280755040929
0.00000000000000000000	0.49000000000000000001	906.24443639081137824576	347.03811713494538768177
0.00000000000000000000	0.50000000000000000000	882.29146943258880569916	341.00959136595304063699
0.00000000000000000000	0.50999999999999999999	896.13904004715477147336	351.88035121570601493346
0.00000000000000000000	0.51999999999999999998	893.38779678711856602202	355.58652457127994075958
0.00000000000000000000	0.52999999999999999997	880.11129158227025881533	353.08448319254901667796
0.00000000000000000000	0.54000000000000000002	904.41424532999499219521	368.65609974028638087806
0.00000000000000000000	0.55000000000000000001	898.68435441676260472255	366.25710869689231627411
0.00000000000000000000	0.56000000000000000000	896.14099337479966372877	364.53611810473994939152
0.00000000000000000000	0.56999999999999999999	919.16198464555860597747	377.57467698174829312530
0.00000000000000000000	0.57999999999999999998	903.22438680450103370978	367.70815674160483535471
0.00000000000000000000	0.58999999999999999998	903.86224911039127316581	368.98717990658207188659
0.00000000000000000000	0.60000000000000000002	914.08820836316402080879	377.37051543439003936653
0.00000000000000000000	0.61000000000000000001	886.45402645693057969156	364.88562297142671664307
0.00000000000000000000	0.62000000000000000000	888.97766748506862194423	369.92109917332599883233
0.00000000000000000000	0.63000000000000000000	888.43138781415065602376	372.95277357501776352433
0.00000000000000000000	0.63999999999999999999	864.36326786648537101598	362.69173438282353877371
0.00000000000000000000	0.64999999999999999998	880.90315541856308334534	370.82852967047701087111
0.00000000000000000000	0.66000000000000000002	880.86696782633127983386	368.90018388697694773359
0.00000000000000000000	0.67000000000000000002	870.92794797932567768539	361.20638813320704552101
0.00000000000000000000	0.68000000000000000001	896.86226001911101468611	370.18846024796431481985
0.00000000000000000000	0.69000000000000000000	890.73338500753271507193	364.07862100628136131641
