vAveValence	vAveRadius06	Log10A	ModelStdDv
0.00000000000000000000	0.00000000000000000000	4.75226541627840596595	3.51457901697131010871
0.00000000000000000000	0.01000000000000000000	4.80096704930265723689	3.45648396094628609638
0.00000000000000000000	0.02000000000000000000	4.84831390182864558312	3.40083530105016079150
0.00000000000000000000	0.03000000000000000000	4.89435261757903237361	3.34753757126476552157
0.00000000000000000000	0.04000000000000000000	4.93912695578452045058	3.29650005566442691864
0.00000000000000000000	0.05000000000000000000	4.98267818387994532951	3.24763634817957083916
0.00000000000000000000	0.06000000000000000000	5.02504538522178611192	3.20086397107306217706
0.00000000000000000000	0.07000000000000000000	5.06626568451923722141	3.15610405049208426727
0.00000000000000000000	0.08000000000000000000	5.10637440798042065767	3.11328104175276770219
0.00000000000000000000	0.09000000000000000000	5.14540519911169775104	3.07232249544152194367
0.00000000000000000000	0.10000000000000000000	5.18339010882780610624	3.03315885619223175006
0.00000000000000000000	0.11000000000000000000	5.22035967359461158767	2.99572328770648526599
0.00000000000000000000	0.12000000000000000000	5.25634299008794239833	2.95995151934886631851
0.00000000000000000000	0.13000000000000000000	5.29136779051465002115	2.92578171106144409785
0.00000000000000000000	0.14000000000000000000	5.32546051970025016188	2.89315433429615194764
0.00000000000000000000	0.15000000000000000001	5.35864641323834891683	2.86201206721476890957
0.00000000000000000000	0.16000000000000000000	5.39094957514813788620	2.83229970266931781317
0.00000000000000000000	0.17000000000000000000	5.42239305329303601742	2.80396406756553779206
0.00000000000000000000	0.18000000000000000001	5.45299891100647650876	2.77695395222100673547
0.00000000000000000000	0.19000000000000000000	5.48278829374772968706	2.75122004832016631842
0.00000000000000000000	0.20000000000000000000	5.51178149003902739973	2.72671489407606062582
0.00000000000000000000	0.20999999999999999999	5.53999798633564976419	2.70339282524911331111
0.00000000000000000000	0.22000000000000000000	5.56745651581232811307	2.68120993074990840075
0.00000000000000000000	0.23000000000000000000	5.59417510130353859855	2.66012401165958294546
0.00000000000000000000	0.24000000000000000000	5.62017109280760181417	2.64009454263174444784
0.00000000000000000000	0.25000000000000000000	5.64546120007352933033	2.62108263478227343588
0.00000000000000000000	0.25999999999999999999	5.67006152083936822497	2.60305099932186037159
0.00000000000000000000	0.27000000000000000001	5.69398756530361001976	2.58596391133129851797
0.00000000000000000000	0.28000000000000000000	5.71725427739130995144	2.56978717321788426280
0.00000000000000000000	0.28999999999999999999	5.73987605333976077734	2.55448807751755981640
0.00000000000000000000	0.30000000000000000001	5.76186675807934544583	2.54003536882017256354
0.00000000000000000000	0.31000000000000000000	5.78323973982970111502	2.52639920469313640538
0.00000000000000000000	0.31999999999999999999	5.80400784327714077109	2.51355111556104185238
0.00000000000000000000	0.33000000000000000001	5.82418342164353218787	2.50146396356692956838
0.00000000000000000000	0.34000000000000000000	5.84377834790737660502	2.49011190049481706934
0.00000000000000000000	0.34999999999999999999	5.86280402539139337218	2.47947032487471456645
0.00000000000000000000	0.36000000000000000001	5.88127139789046695945	2.46951583842164357381
0.00000000000000000000	0.37000000000000000000	5.89919095947766100553	2.46022620198100103162
0.00000000000000000000	0.38000000000000000000	5.91657276409605230490	2.45158029116487068849
0.00000000000000000000	0.38999999999999999999	5.93342643501816140996	2.44355805186943389690
0.00000000000000000000	0.40000000000000000001	5.94976117423285538310	2.43614045586353747072
0.00000000000000000000	0.41000000000000000000	5.96558577180263184276	2.42930945663372375282
0.00000000000000000000	0.41999999999999999999	5.98090861521908576191	2.42304794566299128026
0.00000000000000000000	0.43000000000000000001	5.99573769877357682116	2.41733970930968395004
0.00000000000000000000	0.44000000000000000000	6.01008063295081486040	2.41216938644036071535
0.00000000000000000000	0.44999999999999999999	6.02394465384596330395	2.40752242695661806656
0.00000000000000000000	0.46000000000000000001	6.03733663260193383678	2.40338505134113001693
0.00000000000000000000	0.47000000000000000000	6.05026308485779373966	2.39974421133356413303
0.00000000000000000000	0.47999999999999999999	6.06273018019891230803	2.39658755183192251717
0.00000000000000000000	0.49000000000000000001	6.07474375159629670839	2.39390337410055819472
0.00000000000000000000	0.50000000000000000000	6.08630930482221391966	2.39168060035207770430
0.00000000000000000000	0.50999999999999999999	6.09743202782940656691	2.38990873975694710966
