vAveCoor	Ea	ModelStdDv
0.00000000000000000000	976.28872754104506270778	345.44674888927244621462
0.01000000000000000000	972.08613672092893698284	335.58143551533080778393
0.02000000000000000000	985.36166244603251318512	332.16027630089075015074
0.03000000000000000000	988.73526129327951939008	325.88315694349289916576
0.04000000000000000000	972.71583063432719229446	311.73414546015656328981
0.05000000000000000000	963.27180881354359920365	300.74209897702083804649
0.06000000000000000000	974.96575907542879851908	297.96102606897208392445
0.07000000000000000000	984.16677034433748555431	295.39642609118213645303
0.08000000000000000000	971.53174874277573597192	282.72414860006006556703
0.09000000000000000000	957.30410322362786523787	270.11719419044083911885
0.10000000000000000000	964.90482344410823417613	266.83515373458956465580
0.11000000000000000000	978.14071979323939165507	267.58621358029859607641
0.12000000000000000000	969.99711459086130105334	257.70657991713438150772
0.13000000000000000000	951.58001092756436717357	243.41882543652444371995
0.14000000000000000000	952.27620588172335980293	238.74818760575123584300
0.15000000000000000001	966.36898081515522945795	242.38635922117194868020
0.16000000000000000000	963.03781859197729814381	237.29896195205786806059
0.17000000000000000000	942.42759437823723861483	222.66328161483205440307
0.18000000000000000001	936.13826253416915246230	216.65745725176255648270
0.19000000000000000000	950.34982811063333979495	222.69027461820924208846
0.20000000000000000000	954.39339943502887714244	223.70269914528415407251
0.20999999999999999999	936.21435281130175815045	210.15449353079167409131
0.22000000000000000000	924.56077700095280474946	201.67918243372332337549
0.23000000000000000000	937.03428934020965107576	207.62002626169595281835
0.24000000000000000000	947.74288063056555581065	214.13173723335437247106
0.25000000000000000000	933.82855720227581663995	203.60778272409892980521
0.25999999999999999999	917.13638218224321296823	192.65294891787460389299
0.27000000000000000001	924.99477996327280526767	196.87649044164845081595
0.28000000000000000000	940.49629538893273023037	207.58669286683407081973
0.28999999999999999999	932.75223787797066216099	201.96053021039710073659
0.30000000000000000001	913.03358604697498784875	189.14866945332207062713
0.31000000000000000000	914.81599960001325028136	190.19469082770784905401
0.31999999999999999999	933.09609026242524476569	202.57952751133372222558
0.33000000000000000001	933.03598235484530259987	202.57297875031438932902
0.34000000000000000000	913.07880476042193768071	188.99889946831103437752
0.34999999999999999999	908.22326369007650492815	185.95983536006864879353
0.36000000000000000001	926.72505970579701051193	197.37741654201254801193
0.37000000000000000000	934.71430755197751183427	202.70883450535486762500
0.38000000000000000000	917.36022949047274999135	190.12963360065415981126
0.38999999999999999999	906.10520290607558974161	183.06272092262173210864
0.40000000000000000001	921.92962605817863808166	191.72226081573115299972
0.41000000000000000000	936.96810030924844286959	201.41716092410056136719
0.41999999999999999999	924.62829307784750854093	192.08324466969441945974
0.43000000000000000001	907.99791374602273985595	182.02015216303892082561
0.44000000000000000000	918.34412528150207544186	187.25427136302534344980
0.44999999999999999999	938.21441901729432211177	199.75264989012023518489
0.46000000000000000001	932.59376011603557965479	195.69279442628181608921
0.47000000000000000000	912.42221027317539666646	184.26575681567778589032
0.47999999999999999999	915.17381143106984581204	186.18032942349653248437
0.49000000000000000001	936.88979591046725176051	199.47997678740105859108
0.50000000000000000000	938.87648242526717179413	201.63698916788933318545
0.50999999999999999999	917.74110809728861720691	190.66723216023557194165
0.51999999999999999998	911.96161840739382636878	189.65332344816907621243
0.52999999999999999997	932.29524292688263020779	201.83716968896290634705
0.54000000000000000002	941.87278592999900550531	209.71721900428402142469
0.55000000000000000001	922.78940013989731688815	200.98841878682916009535
0.56000000000000000000	908.92276973066684320202	197.46606032344719812432
0.56999999999999999999	924.84418860612861101878	207.25780322748202069705
0.57999999999999999998	940.99291028931247571343	219.21101407762902861520
0.58999999999999999998	926.90452892734114248574	214.26919946316974174838
0.60000000000000000002	906.67347474284181430004	208.73137955657340970872
0.61000000000000000001	915.70404393305484913590	215.60612290471639719558
0.62000000000000000000	936.40041195958420161549	229.43581956413808790873
0.63000000000000000000	929.63506556003804426336	229.28981823510245190156
0.63999999999999999999	905.75032161229334348729	222.49855102145496989208
0.64999999999999999998	906.27622454380261446394	226.41876302590256034297
0.66000000000000000002	928.68504411403737319741	240.02757002746074020683
0.67000000000000000002	930.53469264184436537946	244.86760604086508150146
0.68000000000000000001	906.30168948403296125260	237.97865862594280535192
0.69000000000000000000	897.82951167968685485254	239.09100965967559197789
0.69999999999999999999	918.67942294351268783803	250.94464673032539858699
0.70999999999999999998	929.16368677124006242307	260.05159013035098466982
0.72000000000000000003	908.02511489750543155486	254.52173916688561197685
