reg0_Ea	reg1_Ea	reg2_Ea	reg3_Ea	reg4_Ea	reg5_Ea	reg6_Ea	reg7_Ea	reg8_Ea	reg9_Ea	reg10_Log10A	reg11_Log10A	reg12_Log10A	reg13_Log10A	reg14_Log10A	reg15_Log10A	reg16_Log10A	reg17_Log10A	reg18_Log10A	reg19_Log10A	bag0_Ea	bag0_Ea_stdev	bag1_Log10A	bag1_Log10A_stdev	Ea	Log10A
807.05318688079055533535	850.06757853993863660591	1030.62948945302622760778	1028.06446195425250378364	923.70288902698746236197	835.20213825324479006706	953.66399167676894421675	895.75365467735627866830	998.24075984786340143273	1012.26410385632677169099	7.11391681802828657055	6.96495615648298750655	7.23196024209750731870	7.43199567206879086563	6.66155327154193210859	7.20536815593520069134	7.24574699519157583438	7.24110318560875171681	6.97950379605339749078	6.29009476031446546074	949.00726267270485958516	77.28021445716026247008	6.94540578982548025434	0.42067141180182590155	772.00000000000000000000	5.58589562600000000010
924.96027594544785443986	900.52426253311552573066	1041.45235719722758283012	1080.16372392060629303856	913.23302925337293700636	890.98692269090289830302	955.71460203693658286284	845.31453032149613946444	1038.24532004457489886562	1034.03036355038511207027	7.27811158554978021584	7.09236239471817753177	7.25600890308135859641	7.25437965863357463918	6.74669029806320175169	7.26006092667114566463	7.29235098709034978981	7.07525326434953075530	7.01166436078231741780	6.51128087410238975963	966.70217079704673290852	73.62249426546575237912	7.03536539256723812219	0.31798295150708334831	996.00000000000000000000	7.03991355200000000015
971.41652070913907834893	944.07392924257668109789	1055.64999693759939525251	1101.24722961366695406227	877.24007803539103678148	938.63492316913655183486	968.88230095715033485249	885.75166769563622182204	1076.45324408414744432605	1044.04251023617820415268	7.29045937681693345667	7.18493123947209573477	7.28292172120188752160	7.25427322174136263427	6.91992076255805699248	7.05948312977125885803	7.30517104712584064430	6.98050832103604788556	7.02830839702776594136	6.75926998402412237965	972.49052178799049539482	83.50460313806848693802	7.16067082128320433164	0.21104696157568085699	1118.00000000000000000000	7.70481840300000000001
995.25046017633203376818	979.68472423609699584190	1069.11609301098342328373	1108.62240776600422975662	920.06204046883890868003	975.72543071109168139055	990.13116282138395263246	980.74006378700140551530	1112.73821567284642330975	1043.41269195194163366125	7.22891724835649540637	7.24922481068444914121	7.31205880509022065894	7.32844425176021646096	7.11868145604645130575	6.95766050188018603251	7.27270866167370400035	6.97900266597660441995	7.02914639606780922154	7.03030508669977649561	1007.12508886707256378079	67.70180447637777531450	7.32207460753117023861	0.13297485500325473131	1152.00000000000000000000	7.70785846500000000007
1026.65287183482420374503	1010.05506218739782253735	1077.62726081820286339052	1108.37742641019735234664	1020.76896979190634384693	1005.66595981908000645433	1015.95459030215806706110	1092.08056856694118685880	1147.07095305852657762813	1034.84596628705571230711	7.12314214950892221623	7.28748312667583127145	7.34381350037843105838	7.56562146071423087621	7.33118170241349931260	6.73627185736106387504	7.20437931456679692133	7.06264844506906154520	7.01584612047255756773	7.32582077296883049655	1063.11931432354583781930	40.80667021510813276611	7.52286541020409012595	0.22153564197803917827	1173.00000000000000000000	7.63533128599999999985
1071.99187740507735355777	1037.07222910648939739886	1077.20296256307470095237	1102.93014331715209630502	1036.12521274042018992745	1029.38308287427192955210	1042.26638556959221659781	1188.65488808060572623049	1179.43288519981586492946	1020.25675357159127631945	6.98812696995552329327	7.30055189320447789347	7.37918836325330929071	7.74149037497802134733	7.54947030085460113469	6.86146249718680556473	7.11633849244374339094	7.19617669819849684401	6.99079467373827512233	7.65098623837691427241	1087.20107817304223507548	54.52790352992861994119	7.74798024490534253256	0.32251446148115323574	1157.00000000000000000000	7.38170330900000000018
823.43742347014779170422	892.99348519030021975595	1027.41921947973165885060	1020.60735841822748959373	951.11639992982610003480	882.66511845979710870758	964.93637565530872279851	863.77015912477448722484	986.36104791374217448663	1049.71639000098329308486	7.07718063496042049110	6.97260376248818038170	7.22459826442867125706	7.23572208629222324121	6.68566084711076280556	7.28414044984563274765	7.27360044658817095353	7.20012620786833869302	7.01348201877974025686	6.21438722070782034734	955.73748326589790563768	74.60854635477254551829	6.87074081404239913034	0.41845427572122845288	783.00000000000000000000	5.82388900200000000007
910.79328562131378532740	933.29264428990326774027	1040.97628309935074675252	1070.99964500992160143511	917.60464210602442092224	927.93044703805019968179	971.61490899760940465058	843.50923019962663573779	1026.51923276505581306139	1063.87473399337749491167	7.25042717794099900175	7.10129044215746497992	7.23477238198958616522	7.17878045807977048162	6.78770350825241353121	7.09323316838181811006	7.29302789376281879186	7.08078742043994695601	7.05011176697698949134	6.46225485141210675977	964.74525672277152582579	74.41096880458129141089	6.98490978804439545261	0.31176366300868703447	993.00000000000000000000	7.13372115999999999994
956.80223392016668526594	966.46937437996539355112	1057.51146268977856301774	1091.31806361659913529039	955.94873070099035006209	962.38260390000797150911	987.56361333714636430159	902.74841685806634039579	1064.73296733296476901387	1065.44550199872701679027	7.27290737459296110501	7.19249794154545171732	7.25252438846447944343	7.21071326415046928715	6.96107727244921870025	7.15271864837658022385	7.27392138597509863018	7.05772242869714632948	7.06865033415912979997	6.73106031630852719161	999.29379810716453624853	60.33282718033894951107	7.15584776673974328615	0.20586671169936716760	1050.00000000000000000000	7.38952061000000000020
1001.52421694255320971934	995.11434281963398262860	1072.98581944705527035921	1098.15457073122293385481	991.36267117279267324648	990.36734110267367353631	1010.06203488231091114358	1004.49215465518070899975	1101.01993474108082082807	1058.34206242203496906029	7.22132048833411488431	7.25416217457257712919	7.27532866117058674149	7.30383848120196287274	7.15997083419746838118	6.82742817504923271699	7.21687323336976049859	7.12269394012438451444	7.07004254086114269917	7.02127695191519940465	1036.08893181008834438739	41.75778753910347087727	7.30459493074510441465	0.13221871442906312499	1111.00000000000000000000	7.64227999799999999997
