No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
48	||	Perovskites		||	Pr	0.8	Sr	0.2			||	Mn	0.7	Co	0.3			||					||	O	2.9	||	570.5097537	1.546283437
49	||	Perovskites		||	Pr	0.65	Sr	0.3			||	Mn	1					||					||	O	2.775	||	1230.944983	5.313963139
50	||	Perovskites		||	Ba	0.5	Sr	0.5			||	Co	0.8	Fe	0.2			||					||	O	2.5	||	883.5460105	5.819824647
51	||	Perovskites		||	Na	0.5	Bi	0.5			||	Ti	1					||					||	O	3	||	595.5653342	3.385470242
52	||	Perovskites		||	Na	0.5	Bi	0.49			||	Ti	1					||					||	O	2.985	||	453.6967124	2.939020646
53	||	Perovskites		||	Na	0.5	Bi	0.51			||	Ti	1					||					||	O	3.015	||	1782.750866	7.483742102
54	||	Perovskites		||	Na	0.5	Bi	0.49			||	Ti	0.98	Mg	0.02			||					||	O	2.965	||	523.5818586	3.851670913
55	||	Perovskites		||	Na	0.5	Bi	0.47	Sr	0.02	||	Ti	1					||					||	O	2.975	||	374.4349384	2.990240437
56	||	Perovskites		||	Na	0.5	Bi	0.49			||	Ti	0.99	Mg	0.01			||					||	O	2.975	||	509.6237436	3.837940822
57	||	Perovskites		||	Na	0.5	Bi	0.49			||	Ti	1					||					||	O	2.985	||	423.4931226	2.775632302
58	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	1.75	Ce	0.25			||					||	O	5.125	||	1028.024898	6.151468753
59	||	Perovskite-related,brownmillerites		||	Ba	3					||	In	2	Zr	1			||					||	O	8	||	589.4725259	5.372400225
60	||	Perovskite-related,brownmillerites		||	Ba	3					||	In	2	Ce	1			||					||	O	8	||	705.4376792	5.292889161
61	||	Perovskite-related,brownmillerites		||	Ba	3					||	In	2	Hf	1			||					||	O	8	||	709.7056847	5.122555195
62	||	Perovskite-related,brownmillerites		||	Ba	2					||	In	2					||					||	O	5	||	741.6028827	3.448501688
63	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Li	0.1			||					||	O	10.8	||	689.1319116	2.303214079
64	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Li	0.2			||					||	O	10.6	||	778.5397224	3.621923857
65	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Cu	0.1			||					||	O	10.85	||	546.0119886	0.854106496
66	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Cu	0.2			||					||	O	10.7	||	950.5381814	5.288086099
67	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Zn	0.1			||					||	O	10.85	||	477.0430488	0.898649674
68	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Zn	0.2			||					||	O	10.7	||	946.6011302	5.531003835
69	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.9	Al	0.1			||					||	O	10.9	||	365.4380639	-0.167500317
70	||	Perovskite-related,others(V-layered)		||	Bi	4					||	V	1.8	Al	0.2			||					||	O	10.8	||	482.8911481	0.80844523
