No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
214	||	d-Bi2O3		||	Bi	1.1	Dy	0.9			||							||					||	O	3	||	1182.765543	9.403623952
215	||	d-Bi2O3		||	Bi	1	Dy	1			||							||					||	O	3	||	1173.037932	9.010835999
216	||	d-Bi2O3		||	Bi	0.8	Dy	1.2			||							||					||	O	3	||	1252.109843	8.504142954
217	||	d-Bi2O3		||	Bi	1.12	Zr	0.2667	Y	0.3466	||							||					||	O	2.7333	||	1233.644125	9.109936612
218	||	d-Bi2O3		||	Bi	1.44	Zr	0.0889	Y	0.3822	||							||					||	O	2.9111	||	1189.083883	9.035679159
219	||	d-Bi2O3		||	Bi	1.6	Y	0.4			||							||					||	O	3	||	1216.212321	9.419809969
220	||	d-Bi2O3		||	Bi	0.85	Pr	0.105	V	0.045	||							||					||	O	1.545	||	815.1820762	6.906452708
221	||	d-Bi2O3		||	Bi	0.85	La	0.105	V	0.045	||							||					||	O	1.545	||	855.8111291	7.067042828
222	||	d-Bi2O3		||	Bi	0.85	Sm	0.105	V	0.045	||							||					||	O	1.545	||	828.9331846	6.772448394
223	||	d-Bi2O3		||	Bi	0.85	Gd	0.105	V	0.045	||							||					||	O	1.545	||	874.9757651	6.939497675
224	||	d-Bi2O3		||	Bi	0.85	Tb	0.105	V	0.045	||							||					||	O	1.545	||	958.3673543	7.673652446
225	||	d-Bi2O3		||	Bi	0.85	Ho	0.105	V	0.045	||							||					||	O	1.545	||	1011.365813	7.403177082
226	||	d-Bi2O3		||	Bi	0.85	Yb	0.105	V	0.045	||							||					||	O	1.545	||	1151.219897	8.160413022
227	||	d-Bi2O3		||	Bi	12.5	Y	1.5	Re	1	||							||					||	O	24.5	||	1131.82278	8.073107482
228	||	d-Bi2O3		||	Bi	12.5	Eu	1.5	Re	1	||							||					||	O	24.5	||	768.1668272	6.413368375
229	||	d-Bi2O3		||	Bi	12.5	Nd	1.5	Re	1	||							||					||	O	24.5	||	979.9843204	7.772356444
230	||	d-Bi2O3		||	Bi	12.5	La	1.5	Re	1	||							||					||	O	24.5	||	762.8641276	6.496898286
231	||	d-Bi2O3		||	Bi	12.5	Er	1.5	Re	1	||							||					||	O	24.5	||	1122.412973	8.105855896
232	||	d-Bi2O3		||	Bi	0.88	Dy	0.08	W	0.04	||							||					||	O	1.56	||	1108	8.989895775
233	||	d-Bi2O3		||	Bi	0.865	Dy	0.09	W	0.045	||							||					||	O	1.5675	||	1086	8.829206817
234	||	d-Bi2O3		||	Bi	0.85	Dy	0.1	W	0.05	||							||					||	O	1.575	||	1077	8.64246019
235	||	d-Bi2O3		||	Bi	0.835	Dy	0.11	W	0.055	||							||					||	O	1.5825	||	1084	8.6337743
236	||	d-Bi2O3		||	Bi	0.82	Dy	0.12	W	0.06	||							||					||	O	1.59	||	1082	8.572973073
237	||	d-Bi2O3		||	Bi	0.79	Dy	0.14	W	0.07	||							||					||	O	1.605	||	1069	8.004047301
238	||	d-Bi2O3		||	Bi	0.905	V	0.095			||							||					||	O	1.595	||	981.2814081	7.932501043
239	||	d-Bi2O3		||	Bi	0.913	V	0.087			||							||					||	O	1.587	||	1020.373506	8.438376219
240	||	d-Bi2O3		||	Bi	0.913	V	0.087			||							||					||	O	1.587	||	1034.376358	8.934865125
241	||	d-Bi2O3		||	Bi	0.852	V	0.148			||							||					||	O	1.648	||	827.1060879	6.439146979
242	||	d-Bi2O3		||	Bi	0.893	Sr	0.02	V	0.087	||							||					||	O	1.577	||	1053.15577	9.041880971
243	||	d-Bi2O3		||	Bi	0.893	Ca	0.02	V	0.087	||							||					||	O	1.577	||	996.0901703	8.561569143
244	||	BIMEVOX		||	Bi	2					||	V	0.925	Cu	0.075			||					||	O	5.3875	||	634.0178693	5.764391306
245	||	BIMEVOX		||	Bi	2					||	V	0.9	Cu	0.1			||					||	O	5.35	||	603.1215844	5.650311539
246	||	BIMEVOX		||	Bi	4					||	V	2					||					||	O	11	||	550.886926	2.40431367
247	||	BIMEVOX		||	Bi	4					||	V	1.9	Co	0.1			||					||	O	10.85	||	801.9171942	4.654171799
248	||	BIMEVOX		||	Bi	4					||	V	1.8	Co	0.2			||					||	O	10.7	||	589.3720153	4.344781215
249	||	BIMEVOX		||	Bi	2					||	V	0.9	Cu	0.1			||					||	O	5.35	||	438.7394493	4.408630504
250	||	BIMEVOX		||	Bi	1.9	La	0.1			||	V	0.9	Cu	0.1			||					||	O	5.2	||	452.7366549	4.365489143
251	||	BIMEVOX		||	Bi	1.8	La	0.2			||	V	0.9	Cu	0.1			||					||	O	5.05	||	565.016702	4.668907469
252	||	Scheelites		||	Pb	1					||	W	1					||					||	O	4	||	1282.871413	4.674776303
253	||	Scheelites		||	Pb	0.95	La	0.05			||	W	1					||					||	O	4.025	||	797.7853275	4.932779389
254	||	Scheelites		||	Pb	0.9	La	0.1			||	W	1					||					||	O	4.05	||	814.1101653	5.209917293
255	||	Scheelites		||	Pb	0.8	La	0.2			||	W	1					||					||	O	4.1	||	931.0863403	6.159610071
256	||	Scheelites		||	Pb	0.7	La	0.3			||	W	1					||					||	O	4.15	||	892.7922846	5.826027453
257	||	Scheelites		||	Pb	0.6	La	0.4			||	W	1					||					||	O	4.2	||	1128.996585	6.831827775
258	||	Scheelites		||	Pb	0.95	La	0.033333333			||	W	1					||					||	O	4	||	698.432524	4.503479166
259	||	Scheelites		||	Pb	0.9	La	0.066666667			||	W	1					||					||	O	4	||	644.4715762	4.392878537
260	||	Scheelites		||	Pb	0.8	La	0.133333333			||	W	1					||					||	O	4	||	826.7188086	4.640843053
261	||	Scheelites		||	Pb	0.7	La	0.2			||	W	1					||					||	O	4	||	790.9827333	4.114356295
262	||	Scheelites		||	Pb	1					||	W	1					||					||	O	4	||	1315.391736	4.849502989
263	||	Scheelites		||	Pb	0.95	Sm	0.05			||	W	1					||					||	O	4.025	||	978.8696075	5.359510182
264	||	Scheelites		||	Pb	0.9	Sm	0.1			||	W	1					||					||	O	4.05	||	804.5218273	4.71529386
265	||	Scheelites		||	Pb	0.85	Sm	0.15			||	W	1					||					||	O	4.075	||	572.2340684	3.989440221
266	||	Scheelites		||	Pb	0.8	Sm	0.2			||	W	1					||					||	O	4.1	||	590.6882599	3.917931651
267	||	Scheelites		||	Ca	1					||	Mo	1					||					||	O	4	||	823.757096	2.687636227
268	||	Scheelites		||	Ca	0.9	Sm	0.1			||	Mo	1					||					||	O	4.05	||	1051.427222	5.965030453
269	||	Scheelites		||	Ca	0.8	Sm	0.2			||	Mo	1					||					||	O	4.1	||	1081.319303	6.276513531
270	||	Scheelites		||	Ca	0.7	Sm	0.3			||	Mo	1					||					||	O	4.15	||	1135.157388	6.642469207
271	||	Scheelites		||	La	1					||	Nb	0.92	W	0.08			||					||	O	4.04	||	1317.445381	6.752080086
272	||	Scheelites		||	Pr	1					||	Nb	0.92	W	0.08			||					||	O	4.04	||	1330.427378	6.870635156
273	||	Scheelites		||	Nd	1					||	Nb	0.92	W	0.08			||					||	O	4.04	||	1414.59574	7.153120845
274	||	Scheelites		||	La	1					||	Nb	1					||					||	O	4	||	965.4154175	2.538461051
275	||	Scheelites		||	Pr	1					||	Nb	1					||					||	O	4	||	1038.395459	2.300866864
276	||	Scheelites		||	Nd	1					||	Nb	1					||					||	O	4	||	862.0816386	3.009495413
277	||	Scheelites		||	Ca	1					||	W	1					||					||	O	4	||	1547.952234	5.622594298
278	||	Scheelites		||	Ca	0.9	Cs	0.1			||	W	1					||					||	O	3.95	||	1217.728822	6.382956147
279	||	Scheelites		||	Ca	0.85	Cs	0.15			||	W	1					||					||	O	3.925	||	1616.20645	8.909948883
280	||	Scheelites		||	Ca	0.8	Cs	0.2			||	W	1					||					||	O	3.9	||	867.8731642	3.738210797
281	||	Scheelites		||	Ba	1					||	W	1					||					||	O	4	||	970.6730393	2.40131102
282	||	Scheelites		||	Ba	0.9	Cs	0.1			||	W	1					||					||	O	3.95	||	550.0269276	2.275303364
283	||	Scheelites		||	Ba	0.875	Cs	0.125			||	W	1					||					||	O	3.9375	||	2203.49897	11.7810713
284	||	Scheelites		||	Ca	0.8	Gd	0.2			||	Mo	1					||					||	O	4.1	||	496.565727	0.914745223
285	||	Scheelites		||	Ca	0.7	Gd	0.3			||	Mo	1					||					||	O	4.15	||	1249.086009	5.944680411
286	||	Scheelites		||	Ca	0.6	Gd	0.4			||	Mo	1					||					||	O	4.2	||	1087.12815	6.519522513
287	||	Scheelites		||	Bi	0.975	Sr	0.025			||	V	1					||					||	O	3.9875	||	615.4800772	3.353796144
288	||	Scheelites		||	Bi	0.95	Sr	0.05			||	V	1					||					||	O	3.975	||	667.3382727	4.008320045
289	||	Scheelites		||	Bi	0.9	Sr	0.1			||	V	1					||					||	O	3.95	||	695.5329938	3.988619535
290	||	Scheelites		||	Bi	0.8	Sr	0.2			||	V	1					||					||	O	3.9	||	735.7816555	4.131697643
291	||	Scheelites		||	Gd	1					||	Nb	1					||					||	O	4	||	1292.281204	4.290487404
292	||	Scheelites		||	Gd	1					||	Nb	0.8	W	0.2			||					||	O	4.1	||	1264.595283	5.140561923
293	||	Scheelites		||	Gd	1					||	Nb	0.7	W	0.3			||					||	O	4.15	||	1253.096385	5.026755255
294	||	Scheelites		||	Gd	1					||	Nb	0.6	W	0.4			||					||	O	4.2	||	1354.802921	5.906275494
295	||	Scheelites		||	Gd	1					||	Nb	0.5	W	0.5			||					||	O	4.25	||	1421.094079	6.111331292
296	||	Scheelites		||	Gd	1					||	Nb	0.4	W	0.6			||					||	O	4.3	||	1413.605012	6.097699886
297	||	Scheelites		||	Gd	1					||	Nb	0.3	W	0.7			||					||	O	4.35	||	1442.531601	6.073002128
298	||	Scheelites		||	La	1					||	Nb	1					||					||	O	4	||	983.983685	2.568100362
299	||	Scheelites		||	La	1					||	Nb	0.84	Mo	0.16			||					||	O	4.08	||	1386.31035	7.045136938
300	||	Scheelites		||	La	1					||	Nb	0.8	Mo	0.2			||					||	O	4.1	||	1371.800357	7.221016827
301	||	Scheelites		||	Bi	1					||	V	1					||					||	O	4	||	773.1547359	3.587457993
302	||	Scheelites		||	Bi	0.98	Ca	0.02			||	V	1					||					||	O	3.99	||	600.8596128	2.850105214
303	||	Scheelites		||	Bi	0.95	Ca	0.05			||	V	1					||					||	O	3.975	||	641.3368304	3.683836013
304	||	Scheelites		||	Bi	0.9	Ca	0.1			||	V	1					||					||	O	3.95	||	717.5710075	4.427631449
305	||	Scheelites		||	Bi	0.85	Ca	0.15			||	V	1					||					||	O	3.925	||	710.2666392	4.502480392
306	||	Scheelites		||	Bi	0.8	Ca	0.2			||	V	1					||					||	O	3.9	||	720.1475892	4.440536843
307	||	Scheelites		||	Nd	1					||	Nb	1					||					||	O	4	||	1024.579804	3.035893564
308	||	Scheelites		||	Nd	1					||	Nb	0.8	W	0.2			||					||	O	4.1	||	1330.553695	6.831924192
309	||	Scheelites		||	Nd	1					||	Nb	0.7	W	0.3			||					||	O	4.15	||	1377.725404	6.903148192
310	||	Scheelites		||	Nd	1					||	Nb	0.6	W	0.4			||					||	O	4.2	||	1441.207035	6.986547402
311	||	Scheelites		||	Sm	1					||	Nb	1					||					||	O	4	||	1070.577054	3.227554767
312	||	Scheelites		||	Sm	1					||	Nb	0.8	W	0.2			||					||	O	4.1	||	1437.09287	7.019924095
313	||	Scheelites		||	Sm	1					||	Nb	0.7	W	0.3			||					||	O	4.15	||	1365.429387	6.539196157
314	||	Scheelites		||	Sm	1					||	Nb	0.6	W	0.4			||					||	O	4.2	||	1422.521768	6.701337497
315	||	Scheelites		||	Sm	1					||	Nb	0.5	W	0.5			||					||	O	4.25	||	1434.195571	6.568693726
316	||	Scheelites		||	Sm	1					||	Nb	0.4	W	0.6			||					||	O	4.3	||	1535.016624	6.926242177
317	||	Scheelites		||	Eu	1					||	Nb	1					||					||	O	4	||	1105.105867	3.512238864
318	||	Scheelites		||	Eu	1					||	Nb	0.8	W	0.2			||					||	O	4.1	||	1336.498735	6.260737613
319	||	Scheelites		||	Eu	1					||	Nb	0.7	W	0.3			||					||	O	4.15	||	1354.116029	6.204206442
320	||	Scheelites		||	Eu	1					||	Nb	0.6	W	0.4			||					||	O	4.2	||	1419.13178	6.431707659
321	||	Scheelites		||	Eu	1					||	Nb	0.5	W	0.5			||					||	O	4.25	||	1455.066053	6.508518851
322	||	Scheelites		||	Eu	1					||	Nb	0.4	W	0.6			||					||	O	4.3	||	1481.097356	6.523272467
323	||	Scheelites		||	Eu	1					||	Nb	0.3	W	0.7			||					||	O	4.35	||	1505.47853	6.475267349
324	||	Scheelites		||	Gd	1					||	Nb	1					||					||	O	4	||	1244.160345	3.979903149
325	||	Scheelites		||	Gd	1					||	Nb	0.8	W	0.2			||					||	O	4.1	||	1326.580666	6.008552623
326	||	Scheelites		||	Gd	1					||	Nb	0.7	W	0.3			||					||	O	4.15	||	1374.979615	6.115504878
327	||	Scheelites		||	Gd	1					||	Nb	0.6	W	0.4			||					||	O	4.2	||	1456.560296	6.448656611
328	||	Scheelites		||	Gd	1					||	Nb	0.5	W	0.5			||					||	O	4.25	||	1437.049781	6.209657405
329	||	Scheelites		||	Gd	1					||	Nb	0.4	W	0.6			||					||	O	4.3	||	1486.882899	6.397433161
330	||	Scheelites		||	Gd	1					||	Nb	0.3	W	0.7			||					||	O	4.35	||	1512.557263	6.367536768
331	||	Scheelites		||	Ho	1					||	Ta	1					||					||	O	4	||	815.9439874	1.105474675
332	||	Scheelites		||	Ho	1					||	Nb	1					||					||	O	4	||	900.025896	1.443295748
333	||	Apatites		||	La	10					||	Si	6					||					||	O	27	||	688.6234401	3.594944264
334	||	Apatites		||	Nd	10					||	Si	6					||					||	O	27	||	633.225699	3.094416393
335	||	Apatites		||	Sm	10					||	Si	6					||					||	O	27	||	683.8145301	2.362828486
336	||	Apatites		||	Gd	10					||	Si	6					||					||	O	27	||	725.2289722	1.520426635
337	||	Apatites		||	Dy	10					||	Si	6					||					||	O	27	||	1181.459672	3.18681521
338	||	Apatites		||	Y	10					||	Si	6					||					||	O	27	||	1272.431356	2.411342323
339	||	Apatites		||	Ho	10					||	Si	6					||					||	O	27	||	1357.974751	3.527066317
340	||	Apatites		||	Er	10					||	Si	6					||					||	O	27	||	1306.399073	2.796166221
341	||	Apatites		||	Yb	10					||	Si	6					||					||	O	27	||	1224.248445	2.475391909
342	||	Apatites		||	Nd	4					||	Si	6					||					||	O	27	||	2309.699434	8.293918456
343	||	Apatites		||	Nd	5					||	Si	6					||					||	O	27	||	2356.569232	8.308207225
344	||	Apatites		||	Nd	6					||	Si	6					||					||	O	27	||	2403.439029	8.738061967
345	||	Apatites		||	Nd	7					||	Si	6					||					||	O	27	||	969.6857364	2.337622317
346	||	Apatites		||	Nd	8					||	Si	6					||					||	O	27	||	853.1411157	2.479514785
347	||	Apatites		||	Nd	9					||	Si	6					||					||	O	27	||	772.8179934	2.549510271
348	||	Apatites		||	Nd	11					||	Si	6					||					||	O	27	||	644.9922915	2.352778481
349	||	Apatites		||	Nd	12					||	Si	6					||					||	O	27	||	1322.9304	3.271763418
350	||	Apatites		||	Nd	8	Ca	2			||	Si	6					||					||	O	26	||	950.6878864	1.088413314
351	||	Apatites		||	Nd	8	Sr	2			||	Si	6					||					||	O	26	||	1154.262924	1.957991014
352	||	Apatites		||	Nd	8	Ba	2			||	Si	6					||					||	O	26	||	832.9046475	1.216062593
353	||	Apatites		||	Nd	5	Ba	5			||	Si	6					||					||	O	24.5	||	816.4414738	1.258368317
354	||	Apatites		||	La	9.33					||	Si	6					||					||	O	26	||	913.8299035	5.01609846
355	||	Apatites		||	La	9.5					||	Si	5.5	Al	0.5			||					||	O	26	||	744.573451	4.98066071
356	||	Apatites		||	La	9.67					||	Si	5	Al	1			||					||	O	26	||	695.2372178	4.873882596
357	||	Apatites		||	La	9.83					||	Si	4.5	Al	1.5			||					||	O	26	||	676.1367157	4.963193245
358	||	Apatites		||	La	10					||	Si	4	Al	2			||					||	O	26	||	731.6264493	3.713722082
359	||	Apatites		||	La	10					||	Si	5.5	Al	0.5			||					||	O	26.75	||	709.6219802	5.034876245
360	||	Apatites		||	La	9.67					||	Si	5.5	Al	0.5			||					||	O	26.25	||	699.9128002	4.715966247
361	||	Apatites		||	La	9.5					||	Ge	5.5	Al	0.5			||					||	O	26	||	1140.985897	7.983408007
362	||	Apatites		||	La	9.6					||	Ge	5.5	Al	0.5			||					||	O	26.15	||	1111.434393	6.690285971
363	||	Apatites		||	La	9.67					||	Ge	5.5	Al	0.5			||					||	O	26.255	||	1157.81704	7.0030206
364	||	Apatites		||	La	9.75					||	Ge	5.5	Al	0.5			||					||	O	26.375	||	1227.102036	7.306373035
365	||	Apatites		||	La	9.33					||	Si	6					||					||	O	26	||	753.4797851	3.660176257
366	||	Apatites		||	La	8	Sr	2			||	Si	6					||					||	O	26	||	1186.840395	2.584820115
367	||	Apatites		||	Nd	9.33					||	Si	6					||					||	O	26	||	749.2772155	2.92006783
368	||	Apatites		||	Nd	8	Sr	2			||	Si	6					||					||	O	26	||	1228.148258	2.029567491
369	||	Apatites		||	La	9.33					||	Si	6					||					||	O	26	||	888.4615979	3.981769526
370	||	Apatites		||	La	9.67					||	Si	6					||					||	O	26.5	||	763.4257506	4.467595292
371	||	Apatites		||	La	10					||	Si	6					||					||	O	27	||	485.0301221	3.813889469
372	||	Apatites		||	La	9.33	Sr	0.33			||	Si	6					||					||	O	26.33	||	742.3901345	4.330448038
373	||	Apatites		||	La	9.33	Sr	0.67			||	Si	6					||					||	O	26.67	||	461.5768835	3.717095827
374	||	Apatites		||	La	9.33	Nd	0.33			||	Si	6					||					||	O	26.5	||	723.3200478	4.507145566
375	||	Apatites		||	La	9.33	Nd	0.67			||	Si	6					||					||	O	27	||	558.1784977	4.208612866
376	||	Apatites		||	La	9.533					||	Si	5.4	Al	0.6			||					||	O	26	||	689.2264299	4.159924483
377	||	Apatites		||	La	9.633					||	Si	5.1	Al	0.9			||					||	O	26	||	579.4377167	3.665976722
378	||	Apatites		||	La	9.733					||	Si	4.8	Al	1.2			||					||	O	26	||	373.9668608	3.042358554
379	||	Apatites		||	La	9.833					||	Si	4.5	Al	1.5			||					||	O	26	||	520.3910244	3.281006217
380	||	Apatites		||	La	9.933					||	Si	4.2	Al	1.8			||					||	O	26	||	997.9446678	5.297633307
381	||	Apatites		||	La	9.533					||	Si	5.7	Mg	0.6			||					||	O	26	||	502.8586797	4.035931185
382	||	Apatites		||	La	9.733					||	Si	5.4	Mg	0.6			||					||	O	26	||	453.2164153	3.606471605
383	||	Apatites		||	La	9.933					||	Si	5.1	Mg	0.9			||					||	O	26	||	561.3341583	3.9458858
384	||	Apatites		||	Nd	9.33333					||	Si	6	Al	0			||					||	O	26	||	707.6271183	6.62608521
385	||	Apatites		||	Nd	9.5					||	Si	5.5	Al	0.5			||					||	O	26	||	658.3956351	7.161081201
386	||	Apatites		||	Nd	9.83333					||	Si	4.5	Al	1.5			||					||	O	26	||	779.250615	7.848225093
387	||	Apatites		||	Nd	10					||	Si	4	Al	2			||					||	O	26	||	893.6012932	7.68839562
388	||	Apatites		||	La	9					||	Ge	6	Sr	1			||					||	O	26.5	||	867.0518512	5.79262794
389	||	Apatites		||	La	10					||	Ge	6					||					||	O	27	||	1829.395307	10.74183921
390	||	Apatites		||	La	9.75					||	Si	6	Sr	0.25			||					||	O	26.895	||	560.8565939	4.206177863
391	||	Apatites		||	La	10					||	Si	6					||					||	O	27	||	630.6759253	3.771518041
392	||	Apatites		||	Ce	9.76					||	Si	6					||					||	O	26.64	||	920.6227142	5.106577668
393	||	Apatites		||	Ce	10					||	Si	6					||					||	O	27	||	925.1451592	5.252762429
394	||	Apatites		||	Ce	10.36					||	Si	6					||					||	O	27.54	||	916.810284	5.404059036
395	||	Cuspidines		||	Sm	4					||	Ga	2					||					||	O	9	||	1163.423818	2.999173364
396	||	Cuspidines		||	Nd	4					||	Ga	2					||					||	O	9	||	1128.039976	2.809466919
397	||	Cuspidines		||	La	4					||	Ga	2					||					||	O	9	||	1105.519078	3.062273946
398	||	Cuspidines		||	La	4					||	Ga	1.8	Ge	0.2			||					||	O	9.1	||	1224.940833	4.818050837
399	||	Cuspidines		||	La	4					||	Ga	1.6	Ge	0.4			||					||	O	9.2	||	1312.990005	5.641899556
400	||	Cuspidines		||	La	4					||	Ga	1.4	Ge	0.6			||					||	O	9.3	||	1231.668385	5.688402074
401	||	Cuspidines		||	Nd	4					||	Ga	2					||					||	O	9	||	1079.867484	2.893069861
402	||	Cuspidines		||	Nd	4					||	Ga	1.95	Ge	0.05			||					||	O	9.025	||	1245.06483	4.782127744
403	||	Cuspidines		||	Nd	4					||	Ga	1.9	Ge	0.1			||					||	O	9.05	||	1282.732287	4.984266534
404	||	Cuspidines		||	Nd	4					||	Ga	1.85	Ge	0.15			||					||	O	9.075	||	1303.083578	5.337362906
405	||	Cuspidines		||	Nd	4					||	Ga	1.8	Ge	0.2			||					||	O	9.1	||	1311.525678	5.275846395
406	||	Cuspidines		||	Nd	4					||	Ga	1.75	Ge	0.25			||					||	O	9.125	||	1264.502422	5.105905444
407	||	Cuspidines		||	Nd	4					||	Ga	1.7	Ge	0.3			||					||	O	9.15	||	1356.382879	5.852040843
408	||	Cuspidines		||	Nd	4					||	Ga	1.65	Ge	0.35			||					||	O	9.175	||	1245.886923	5.784528743
409	||	Cuspidines		||	Nd	4					||	Ga	1.6	Ge	0.4			||					||	O	9.2	||	1224.610305	5.713406678
410	||	Cuspidines		||	La	4					||	Ga	1.6	Ge	0.4			||					||	O	9.2	||	1449.553663	5.697066397
411	||	Cuspidines		||	Gd	4					||	Ga	1.6	Ge	0.4			||					||	O	9.2	||	1464.290897	4.880145777
412	||	Cuspidines		||	La	4					||	Ga	2					||					||	O	9	||	1089.807429	2.928015547
413	||	Cuspidines		||	La	4					||	Ga	1.7	Ti	0.3			||					||	O	9.15	||	1441.506212	4.915820765
414	||	Cuspidines		||	La	4					||	Ga	1	Ti	1			||					||	O	9.5	||	1597.325298	6.00927159
415	||	Cuspidines		||	La	4					||	Ga	0.3	Ti	1.7			||					||	O	9.85	||	1569.23757	5.867622442
416	||	Melilites		||	La	1	Sr	1			||	Ga	3					||					||	O	7	||	1325.860492	4.192258752
417	||	Melilites		||	La	1.1	Sr	0.9			||	Ga	3					||					||	O	7.05	||	1013.895896	4.852416223
418	||	Melilites		||	La	1.2	Sr	0.8			||	Ga	3					||					||	O	7.1	||	937.8946886	5.218550803
419	||	Melilites		||	La	1.3	Sr	0.7			||	Ga	3					||					||	O	7.15	||	952.3551855	5.567400302
420	||	Melilites		||	La	1.4	Sr	0.6			||	Ga	3					||					||	O	7.2	||	828.647449	5.382602282
421	||	Melilites		||	La	1.54	Sr	0.46			||	Ga	3					||					||	O	7.27	||	765.3781108	5.234374845
422	||	Melilites		||	La	1.56	Sr	0.44			||	Ga	3					||					||	O	7.28	||	703.8651842	5.076555005
423	||	Melilites		||	La	1.58	Sr	0.42			||	Ga	3					||					||	O	7.29	||	795.6344182	5.647714518
424	||	Melilites		||	La	1.6	Sr	0.4			||	Ga	3					||					||	O	7.3	||	825.0798531	5.895133662
425	||	Melilites		||	La	1.62	Sr	0.38			||	Ga	3					||					||	O	7.31	||	849.6447235	5.908539376
426	||	Melilites		||	La	1.64	Sr	0.36			||	Ga	3					||					||	O	7.32	||	910.1085926	6.042282246
427	||	Melilites		||	La	3					||	Ga	5	Ge	1			||					||	O	14	||	1339.785609	4.556530034
428	||	Melilites		||	La	3					||	Ga	4.9	Ge	1.1			||					||	O	14.05	||	1167.692261	4.958737227
429	||	Melilites		||	La	3					||	Ga	4.8	Ge	1.2			||					||	O	14.1	||	1264.105068	6.133129487
430	||	Melilites		||	La	3					||	Ga	4.7	Ge	1.3			||					||	O	14.15	||	1240.41939	6.189677038
431	||	Melilites		||	La	3					||	Ga	4.5	Ge	1.5			||					||	O	14.25	||	1244.455956	6.409080736
432	||	Melilites		||	Ca	2					||	Ga	2	Ge	1			||					||	O	7	||	1467.293573	4.266945065
433	||	Melilites		||	Ca	1.95	La	0.05			||	Ga	2	Ge	1			||					||	O	7.025	||	1298.551679	4.762278788
434	||	Melilites		||	Ca	1.9	La	0.1			||	Ga	2	Ge	1			||					||	O	7.05	||	1195.107283	4.910352126
435	||	Melilites		||	Ca	1.85	La	0.15			||	Ga	2	Ge	1			||					||	O	7.075	||	1157.01874	4.904790096
436	||	Melilites		||	Ca	1.8	La	0.2			||	Ga	2	Ge	1			||					||	O	7.1	||	1208.141693	5.083326607
437	||	Melilites		||	Ca	1.75	La	0.25			||	Ga	2	Ge	1			||					||	O	7.125	||	1235.538237	5.113265417
438	||	Melilites		||	Ca	5					||	Ga	6					||					||	O	14	||	1319.335829	2.979556157
439	||	Melilites		||	Ca	4.875	La	0.125			||	Ga	6					||					||	O	14.0625	||	1320.668361	4.324261223
440	||	Melilites		||	Ca	4.75	La	0.25			||	Ga	6					||					||	O	14.125	||	1312.823922	4.618442447
441	||	Garnets		||	Y	3					||	Al	5					||					||	O	12	||	3160.678152	9.652873942
442	||	Garnets		||	Y	3					||	Al	4.999	Fe	0.001			||					||	O	12	||	3467.428699	10.78158054
443	||	Garnets		||	Y	3					||	Al	4.99	Fe	0.01			||					||	O	12	||	3161.333239	9.824349502
444	||	Garnets		||	Gd	3					||	Fe	5					||					||	O	12	||	2217.954445	8.251595156
445	||	Garnets		||	Gd	2.2	Pr	0.8			||	Fe	5					||					||	O	12	||	2321.597176	8.685889638
446	||	Garnets		||	Gd	2.5	Ca	0.5			||	Fe	5					||					||	O	12	||	2186.861626	7.817300674
447	||	Garnets		||	Y	2.5	Ca	0.5			||	Fe	5					||					||	O	12	||	1979.576163	7.252717848
448	||	Garnets		||	Y	2.5	Ca	0.5			||	Fe	4	Ni	1			||					||	O	12	||	1824.112067	7.079000055
449	||	Garnets		||	Y	2.5	Ca	0.25	Nd	0.25	||	Fe	5					||					||	O	12	||	1948.483344	7.383006192
450	||	Pyrochlores		||	Gd	2					||	Ti	2					||					||	O	7	||	1111.182615	3.688589394
451	||	Pyrochlores		||	Gd	1.995	Ca	0.005			||	Ti	2					||					||	O	7	||	1002.388544	3.801136991
452	||	Pyrochlores		||	Gd	1.96	Ca	0.04			||	Ti	2					||					||	O	7	||	678.3790702	4.217804481
453	||	Pyrochlores		||	Gd	1.9	Ca	0.1			||	Ti	2					||					||	O	7	||	699.715972	4.765607366
454	||	Pyrochlores		||	Gd	1.8	Ca	0.2			||	Ti	2					||					||	O	7	||	772.6233734	5.256169067
455	||	Pyrochlores		||	Gd	1.7	Ca	0.3			||	Ti	2					||					||	O	7	||	776.1540615	5.115542887
456	||	Columbites		||	Mg	1					||	Nb	2					||					||	O	6	||	420.7844816	-1.740857817
457	||	Columbites		||	Mg	0.9	Li	0.1			||	Nb	2					||					||	O	5.95	||	543.4870656	-0.999028882
458	||	Columbites		||	Mg	0.8	Li	0.2			||	Nb	2					||					||	O	5.9	||	470.1520809	-2.053185137
459	||	Columbites		||	Mg	0.9	Cu	0.1			||	Nb	2					||					||	O	5.95	||	287.9550126	0.581582568
460	||	Columbites		||	Mg	0.8	Cu	0.2			||	Nb	2					||					||	O	5.9	||	314.0647503	1.82188559
461	||	a-SrSiO3		||	Sr	0.8	K	0.2			||	Si	1					||					||	O	2.9	||	1256.856149	6.856733792
462	||	a-SrSiO3		||	Sr	0.85	K	0.15			||	Ge	1					||					||	O	2.925	||	1438.550242	8.860533394
463	||	a-SrSiO3		||	Sr	0.9	K	0.1			||	Ge	1					||					||	O	2.95	||	1560.43736	9.25930217
