CompositionName	OM	MinElectronegativityFromO	AveElectronegativityFromO	MaxElectronegativityFromO	StdDvElectronegativityFromO	SkewElectronegativityFromO	KurtoElectronegativityFromO	MinMass	AveMass	MaxMass	StdDvMass	SkewMass	KurtoMass	MinValence	AveValence	MaxValence	StdDvValence	SkewValence	KurtoValence	MinRadius06	AveRadius06	MaxRadius06	StdDvRadius06	SkewRadius06	KurtoRadius06	MinXensity	AveXensity	MaxXensity	StdDvXensity	SkewXensity	KurtoXensity	MinMolDensity	AveMolDensity	MaxMolDensity	StdDvMolDensity	SkewMolDensity	KurtoMolDensity	MinFilling	AveFilling	MaxFilling	StdDvFilling	SkewFilling	KurtoFilling	MinBulkModulus	AveBulkModulus	MaxBulkModulus	StdDvBulkModulus	SkewBulkModulus	KurtoBulkModulus	MinShearModulus	AveShearModulus	MaxShearModulus	StdDvShearModulus	SkewShearModulus	KurtoShearModulus	MinPoissonRatio	AvePoissonRatio	MaxPoissonRatio	StdDvPoissonRatio	SkewPoissonRatio	KurtoPoissonRatio	MinThermalConductivity	AveThermalConductivity	MaxThermalConductivity	StdDvThermalConductivity	SkewThermalConductivity	KurtoThermalConductivity	MinThermalExpansion	AveThermalExpansion	MaxThermalExpansion	StdDvThermalExpansion	SkewThermalExpansion	KurtoThermalExpansion	MinOuterPrincipal	AveOuterPrincipal	MaxOuterPrincipal	StdDvOuterPrincipal	SkewOuterPrincipal	KurtoOuterPrincipal	MinOuterAzimuthal	AveOuterAzimuthal	MaxOuterAzimuthal	StdDvOuterAzimuthal	SkewOuterAzimuthal	KurtoOuterAzimuthal	MinDebyeTemp	AveDebyeTemp	MaxDebyeTemp	StdDvDebyeTemp	SkewDebyeTemp	KurtoDebyeTemp	MinCoor	AveCoor	MaxCoor	StdDvCoor	SkewCoor	KurtoCoor	MinRadius	AveRadius	MaxRadius	StdDvRadius	SkewRadius	KurtoRadius	Ea	Log10A
La0.900Sr0.100Ga0.750Mg0.250O2.825	1.4125	-2.49	-2.055	-1.63	0.338304596	0.366787347	1.29764968	24.305	96.0727115	138.90547	41.63356272	-0.245744506	1.668084741	2	2.825	3	0.379967104	-1.710674407	3.926406926	0.62	0.8459	1.18	0.205630713	0.022152973	1.214081115	1.74	5.33325	6.15	1.549689304	-1.735506257	4.11116559	0.03013	0.0621655	0.084764	0.019948869	0.026680576	1.247398483	0.05096	0.089018825	0.124878	0.034321923	-0.058187633	1.066222781	28	31.69565217	45	7.012006986	1.370320319	2.877777778	6.1	13.968	17	2.606103605	-1.886493845	7.012732158	0.28	0.282	0.29	0.004	1.5	3.25	13	38.475	160	46.60846892	2.139057583	5.817947402	0.000012	0.000054675	0.00012	5.07939E-05	0.493771551	1.272231571	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.250000125	2	0.661437592	-0.323968438	2.224488117	142	241.25	400	101.7481572	0.191216587	1.319510343	6	9	12	3	0	1	0.62	1.0065	1.44	0.363191065	-0.013339725	1.03468006	1146	7.766053925
La0.900Sr0.100Ga0.700Mg0.300O2.800	1.4	-2.49	-2.0675	-1.63	0.331539967	0.44991047	1.398721072	24.305	94.9372615	138.90547	42.93566962	-0.255678795	1.635121263	2	2.8	3	0.4	-1.5	3.25	0.62	0.8484	1.18	0.203465574	0.014296519	1.230658457	1.74	5.229	6.15	1.644730677	-1.523052876	3.399016593	0.03013	0.06183615	0.084764	0.019679993	0.042891939	1.276016796	0.05096	0.08942995	0.124878	0.03396016	-0.067643973	1.079449084	28	32.25	45	7.361215932	1.154700538	2.333333333	6.1	14.08461538	17	2.621170072	-1.856864873	6.976733816	0.28	0.282307692	0.29	0.00421325	1.278019301	2.633333333	13	41.75	160	50.28506239	1.860713889	4.636665358	0.000012	0.0000523	0.00012	4.9897E-05	0.602423807	1.396982067	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.20000015	2	0.678232733	-0.269240736	2.151227439	142	243.25	400	104.0369526	0.199172139	1.316962923	6	9	12	3	2.776E-17	1	0.62	1.009	1.44	0.360858698	-0.016178577	1.038884722	1169	7.697001103
La0.850Sr0.150Ga0.950Mg0.050O2.900	1.45	-2.49	-2.00875	-1.63	0.364020518	0.040559512	1.077502796	24.305	99.33237475	138.90547	35.11436325	0.076886473	1.447689495	2	2.9	3	0.3	-2.666666667	8.111111111	0.62	0.8396	1.18	0.218373625	0.087590039	1.186920601	1.74	5.6625	6.15	1.095405747	-2.680519472	8.475750885	0.03013	0.063129275	0.084764	0.021374534	-0.07357007	1.182550258	0.05096	0.087427425	0.124878	0.03573918	-0.012280419	1.013519773	28	28.94444444	45	3.894044202	3.880570001	16.05882353	6.1	13.01428571	17	2.893553708	-1.792712461	4.839959762	0.28	0.28047619	0.29	0.002129589	4.248529157	19.05	13	25.925	160	23.0449425	4.854029873	28.68768189	0.000012	6.445E-05	0.00012	5.29405E-05	0.089120859	1.021167073	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.450000025	2	0.545435539	-0.263453788	1.971397889	142	233.375	400	91.46848843	0.067742495	1.140312204	6	9	12	3	3.47E-18	1	0.62	0.9985	1.44	0.374363126	0.004484191	1.018615167	803	6.127026551
La0.850Sr0.150Ga0.900Mg0.100O2.875	1.4375	-2.49	-2.02125	-1.63	0.359354891	0.116325037	1.112958337	24.305	98.19692475	138.90547	36.74968105	-0.039866579	1.619826858	2	2.875	3	0.330718914	-2.267786838	6.142857143	0.62	0.8421	1.18	0.216408849	0.077241661	1.202070054	1.74	5.55825	6.15	1.253859816	-2.302874557	6.524176902	0.03013	0.062799925	0.084764	0.021138834	-0.054511837	1.204539243	0.05096	0.08783855	0.124878	0.035410388	-0.024671383	1.026461247	28	29.78947368	45	5.217167485	2.572478777	7.617647059	6.1	13.19545455	17	2.946411881	-1.692950527	4.843141128	0.28	0.280909091	0.29	0.002874798	2.846049894	9.1	13	29.2	160	31.13695554	3.64713569	15.60151114	0.000012	0.000062075	0.00012	5.25245E-05	0.186832717	1.052106891	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.40000005	2	0.583095069	-0.363172473	2.276813861	142	235.375	400	94.17528537	0.117358863	1.229177381	6	9	12	3	-1.388E-17	1	0.62	1.001	1.44	0.372154538	0.000234794	1.023825891	930	6.783679807
La0.850Sr0.150Ga0.850Mg0.150O2.850	1.425	-2.49	-2.03375	-1.63	0.354187009	0.192990024	1.162116993	24.305	97.06147475	138.90547	38.28160282	-0.115762445	1.696060859	2	2.85	3	0.357071421	-1.960392118	4.843137255	0.62	0.8446	1.18	0.214396922	0.067628131	1.217699114	1.74	5.454	6.15	1.38660701	-1.99920966	5.164364681	0.03013	0.062470575	0.084764	0.020895285	-0.036325245	1.228168632	0.05096	0.088249675	0.124878	0.035073696	-0.036437569	1.0396539	28	30.55	45	6.070214164	1.960392118	4.843137255	6.1	13.36086957	17	2.984268774	-1.634865292	4.860821622	0.28	0.281304348	0.29	0.003367812	2.194690563	5.816666667	13	32.475	160	37.23572713	2.951654834	10.35001942	0.000012	5.97E-05	0.00012	5.19967E-05	0.286076948	1.103178096	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.350000075	2	0.614410122	-0.384796894	2.333096937	142	237.375	400	96.76509895	0.152553233	1.282411247	6	9	12	3	1.388E-17	1	0.62	1.0035	1.44	0.369915869	-0.003679276	1.02885192	998	7.095503245
La0.850Sr0.150Ga0.830Mg0.170O2.840	1.42	-2.49	-2.03875	-1.63	0.351974342	0.223973728	1.18587349	24.305	96.60729475	138.90547	38.86818698	-0.137652492	1.709044254	2	2.84	3	0.366606056	-1.854852067	4.44047619	0.62	0.8456	1.18	0.213578651	0.064005771	1.224066439	1.74	5.4123	6.15	1.434154354	-1.893629356	4.737156612	0.03013	0.062338835	0.084764	0.020795607	-0.029321698	1.238064642	0.05096	0.088414125	0.124878	0.034936756	-0.040953405	1.044977204	28	30.83333333	45	6.335525936	1.788854382	4.2	6.1	13.42307692	17	2.996019713	-1.61975005	4.872362388	0.28	0.281452991	0.29	0.003524022	2.013045688	5.052352941	13	33.785	160	39.33559171	2.744538067	9.043124738	0.000012	5.875E-05	0.00012	5.17536E-05	0.326370804	1.129586553	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.330000085	2	0.625379704	-0.380748292	2.324292946	142	238.175	400	97.77036553	0.163331798	1.296174087	6	9	12	3	1.388E-17	1	0.62	1.0045	1.44	0.369011856	-0.005146104	1.030801125	1044	7.401680855
La0.850Sr0.150Ga0.800Mg0.200O2.825	1.4125	-2.49	-2.04625	-1.63	0.34849453	0.270850956	1.226171906	24.305	95.92602475	138.90547	39.72209307	-0.163315298	1.715295154	2	2.825	3	0.379967104	-1.710674407	3.926406926	0.62	0.8471	1.18	0.212336502	0.058828189	1.233722166	1.74	5.34975	6.15	1.500485734	-1.748742509	4.189387247	0.03013	0.062141225	0.084764	0.02064361	-0.019134264	1.253366988	0.05096	0.0886608	0.124878	0.034728873	-0.047507438	1.052987007	28	31.23809524	45	6.675504346	1.576481563	3.485294118	6.1	13.5125	17	3.010580301	-1.603658519	4.894370343	0.28	0.281666667	0.29	0.00372678	1.788854382	4.2	13	35.75	160	42.214186	2.481689318	7.541131808	0.000012	0.000057325	0.00012	5.13539E-05	0.387611363	1.176018014	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.3000001	2	0.640312221	-0.365674035	2.294465489	142	239.375	400	99.24708749	0.176492145	1.310414524	6	9	12	3	-2.776E-17	1	0.62	1.006	1.44	0.367646569	-0.007235849	1.03365021	1073	7.521980427
La0.850Sr0.150Ga0.750Mg0.250O2.800	1.4	-2.49	-2.05875	-1.63	0.342251278	0.350221746	1.306669974	24.305	94.79057475	138.90547	41.08077103	-0.190692818	1.700545543	2	2.8	3	0.4	-1.5	3.25	0.62	0.8496	1.18	0.210226164	0.050931317	1.250034931	1.74	5.2455	6.15	1.599531103	-1.536198007	3.466278729	0.03013	0.061811875	0.084764	0.020383508	-0.003086274	1.280032054	0.05096	0.089071925	0.124878	0.034375675	-0.057799292	1.066327192	28	31.86363636	45	7.124193444	1.301582747	2.694117647	6.1	13.652	17	3.027886392	-1.590458147	4.942850695	0.28	0.282	0.29	0.004	1.5	3.25	13	39.025	160	46.43408635	2.13182973	5.801727989	0.000012	0.00005495	0.00012	5.05915E-05	0.492283854	1.273018425	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.250000125	2	0.661437592	-0.323968438	2.224488117	142	241.375	400	101.6291512	0.191544057	1.3205027	6	9	12	3	0	1	0.62	1.0085	1.44	0.365346069	-0.010410967	1.038173119	1116	7.668771961
La0.850Sr0.150Ga0.700Mg0.300O2.775	1.3875	-2.49	-2.07125	-1.63	0.335426501	0.431436398	1.405595846	24.305	93.65512475	138.90547	42.36550867	-0.203397201	1.665837652	2	2.775	3	0.417582327	-1.317105548	2.734767025	0.62	0.8521	1.18	0.208064389	0.044039435	1.266510549	1.74	5.14125	6.15	1.686358781	-1.351315913	2.914766752	0.03013	0.061482525	0.084764	0.020114652	0.011643008	1.308020989	0.05096	0.08948305	0.124878	0.034013842	-0.067219625	1.079513735	28	32.43478261	45	7.464851476	1.089162297	2.18627451	6.1	13.78076923	17	3.038093941	-1.589681653	5.004643518	0.28	0.282307692	0.29	0.00421325	1.278019301	2.633333333	13	42.3	160	50.0875234	1.854539121	4.625358814	0.000012	0.000052575	0.00012	4.97041E-05	0.601071797	1.397526853	3	3.925	5	0.958840446	0.150058035	1.104552969	0.000001	1.20000015	2	0.678232733	-0.269240736	2.151227439	142	243.375	400	103.9181619	0.199506638	1.317895059	6	9	12	3	2.776E-17	1	0.62	1.011	1.44	0.363013774	-0.013178715	1.042367888	1116	7.562369813
La0.800Sr0.200Ga0.950Mg0.050O2.875	1.4375	-2.49	-2.0125	-1.63	0.368162668	0.032134764	1.087117103	24.305	98.050238	138.90547	34.57822116	0.153361823	1.511523015	2	2.875	3	0.330718914	-2.267786838	6.142857143	0.62	0.8433	1.18	0.222810929	0.10568629	1.208774632	1.74	5.57475	6.15	1.189394778	-2.284198555	6.432894736	0.03013	0.06277565	0.084764	0.021796384	-0.091278882	1.203471598	0.05096	0.087480525	0.124878	0.035793165	-0.012074335	1.013718014	28	29	45	4	3.75	15.0625	6.1	12.63809524	17	3.234409667	-1.399617555	3.361740577	0.28	0.28047619	0.29	0.002129589	4.248529157	19.05	13	26.475	160	22.99237645	4.821600032	28.48425764	0.000012	0.000064725	0.00012	5.26953E-05	0.087199436	1.023353452	3	3.9	5	0.943398113	0.200089487	1.15351597	0.000001	1.450000025	2	0.545435539	-0.263453788	1.971397889	142	233.5	400	91.34686639	0.06779529	1.140969816	6	9	12	3	-1.63758E-15	1	0.62	1.0005	1.44	0.37649668	0.006655171	1.021435603	815	6.114866305
