Atom	Electronegativity	ElectronegativityFromH	ElectronegativityFromO	Mass	Valence	Radius01	Radius02	Radius03	Radius04	Radius05	Radius06	Radius07	Radius08	Radius09	Radius10	Radius11	Radius12	Radius13	Radius14	Xensity	MolDensity	Filling	Porosity	BulkModulus	ShearModulus	PoissonRatio	ThermalConductivity	ThermalExpansion	Superconducting	OuterPrincipal	OuterAzimuthal	OuterNelectron	OuterNnonquenched	OuterRnonquenched	OuterFillingnonquenched	DebyeTemp	HubbardU	MMSusc
Mo	2.16	-0.04	-1.28	95.95	6	0	0.2267	0.3176	0.41	0.5	0.59	0.73	0.8071	0.8842	0.9613	1.0384	1.1155	0	0	10.2	0.106305	0.055075	0.944925	230	20	0.31	139	0.000005	0.915	4	1	6	0.000001	0.000001	0.000001	450	2.561	11.22
Tc	1.9	-0.3	-1.54	98	7	0	0	0	0.37	0.4657	0.56	0.6564	0.7528	0.8492	0.9456	1.042	1.1384	0	0	11	0.112245	0.049724	0.950276	0	0	0	51	0	7.7	4	1	6	0.000001	0.000001	0.000001	0	2.946	33.52
Ru	2.2	0.000001	-1.24	101.07	4	0	0	0	0.4902	0.5551	0.62	0.6849	0.7474	0.8099	0.8724	0.9349	0.9974	0	0	12.1	0.119719	0.071974	0.928026	220	173	0.3	120	0.000006	0.49	4	2	6	0.000001	0.000001	0.000001	600	3	5.48
Rh	2.28	0.08	-1.16	102.9055	3	0	0	0	0.5	0.5825	0.665	0.7475	0.83	0.9125	0.995	1.0775	1.16	0	0	12.4	0.120499	0.08939	0.91061	380	150	0.26	150	0.000008	0	4	2	6	0.000001	0.000001	0.000001	480	1.528	14
Pd	2.2	0.000001	-1.24	106.42	2	0	0.5006	0	0.7149	0.78745	0.86	0.9432	1.0213	1.0944	1.1675	1.2406	1.3137	0	0	12	0.112761	0.180923	0.819077	180	44	0.39	71	0.000012	0	4	2	8	2	0.5	0.090461	274	3.757	69.92
Ag	1.93	-0.27	-1.51	107.8682	1	0.5329	0.67	0.8435	1	1.09	1.15	1.22	1.28	1.3441	1.4054	1.4644	1.5213	0	0	10.501	0.09735	0.373482	0.626517	100	30	0.37	430	0.000019	0	4	2	10	0.000001	0.000001	0.000001	225	2.254	-2.45
Cd	1.69	-0.51	-1.75	112.414	2	0	0.5454	0.669	0.78	0.87	0.95	1.03	1.1	1.1579	1.211	1.2605	1.31	0	0	8.69	0.077304	0.16719	0.83281	42	19	0.3	96	0.000031	0.517	4	2	10	0.000001	0.000001	0.000001	209	0.238	-2.59
In	1.78	-0.42	-1.66	114.818	3	0	0	0.5342	0.62	0.714	0.8	0.8625	0.92	0.9775	1.035	1.0925	1.15	0	0	7.31	0.063666	0.082227	0.917773	0	0	0	82	0.000032	3.41	4	2	10	0.000001	0.000001	0.000001	108	0	-1.61
Sn	1.96	-0.24	-1.48	118.71	4	0	0	0	0.55	0.62	0.69	0.75	0.81	0.87	0.93	0.99	1.05	0	0	7.287	0.061385	0.050868	0.949132	58	18	0.36	67	0.000022	3.72	4	2	10	0.000001	0.000001	0.000001	200	0	-3.68
Sb	2.05	-0.15	-1.39	121.76	5	0	0	0.3833	0.4808	0.5404	0.6	0.6596	0.7192	0.7788	0.8384	0.898	0.9576	0	0	6.685	0.054903	0.029915	0.970085	42	20	0	24	0.000011	0	4	2	10	0.000001	0.000001	0.000001	211	0	-13.27
Te	2.1	-0.1	-1.34	127.6	4	0	0.4201	0.52	0.66	0.7339	0.97	0.8431	0.8977	0.9578	1.0224	1.087	1.1516	0	0	6.232	0.04884	0.112443	0.887557	64	16	0	3	0	0	5	0.000001	2	0.000001	0.000001	0.000001	153	0	-4.98
I	2.66	0.46	-0.78	126.90447	-1	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	4.93	0.038848	1	0	7.7	0	0	0.449	0	0	5	1	6	0.000001	0.000001	0.000001	0	0	-11.4
Xe	2.6	0.4	-0.84	131.293	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005887	0.000045	0	1	0	0	0	0.00565	0	0	5	1	6	0.000001	0.000001	0.000001	64	0	-5.65
Cs	0.79	-1.41	-2.65	132.905452	1	1.4931	1.5384	1.578	1.6125	1.6433	1.67	1.7057	1.74	1.78	1.81	1.85	1.88	1.9224	0	1.93	0.014522	0.17061	0.82939	1.6	0	0	36	0	0	5	1	6	0.000001	0.000001	0.000001	38	0	3.72
Ba	0.89	-1.31	-2.55	137.327	2	0.9716	1.0509	1.1318	1.2122	1.287	1.35	1.38	1.42	1.47	1.52	1.57	1.61	0	0	3.62	0.02636	0.163604	0.836396	9.4	4.9	0	18	0.000021	0	5	1	6	0.000001	0.000001	0.000001	110	0	15.52
La	1.1	-1.1	-2.34	138.90547	3	0.7285	0.797	0.8636	0.9254	0.9801	1.032	1.1	1.16	1.216	1.27	1.3194	1.36	0	0	6.15	0.044275	0.122754	0.877246	28	14	0.28	13	0.000012	4.88	5	1	6	0.000001	0.000001	0.000001	142	0	15.28
Ce	1.12	-1.08	-2.32	140.116	3	0	0	0	0.9039	0.9584	1.01	1.07	1.143	1.196	1.25	1.2938	1.34	0	0	6.77	0.048317	0.125575	0.874425	22	14	0.24	11	0.000006	0.022	4	3	1	1	0.071429	0.125575	200	4.9	308.26
