Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.83Mg0.17O2.84,La,0.85,Sr,0.15,,,Ga,0.83,Mg,0.17,,,,,,,O,2.84,1044,25216270.53,813,1093615.787,854.25229,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.8Mg0.2O2.825,La,0.85,Sr,0.15,,,Ga,0.8,Mg,0.2,,,,,,,O,2.825,1073,33264456.08,845,1539548.886,860.9925583,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.75Mg0.25O2.8,La,0.85,Sr,0.15,,,Ga,0.75,Mg,0.25,,,,,,,O,2.8,1116,46641441.2,900,2607754.333,869.1317317,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.7Mg0.3O2.775,La,0.85,Sr,0.15,,,Ga,0.7,Mg,0.3,,,,,,,O,2.775,1116,36506467.7,913,2436321.798,870.2316877,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.95Mg0.05O2.875,La,0.8,Sr,0.2,,,Ga,0.95,Mg,0.05,,,,,,,O,2.875,815,1302765.669,602,68596.72006,839.5931929,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.9Mg0.1O2.85,La,0.8,Sr,0.2,,,Ga,0.9,Mg,0.1,,,,,,,O,2.85,935,7655998.376,789,874143.6497,780.7648137,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.85Mg0.15O2.825,La,0.8,Sr,0.2,,,Ga,0.85,Mg,0.15,,,,,,,O,2.825,999,14694737.58,785,790957.8829,849.8859952,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.83Mg0.17O2.84,La,0.8,Sr,0.2,,,Ga,0.83,Mg,0.17,,,,,,,O,2.84,1076,42669716.03,815,1231815.925,854.3806008,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.8Mg0.2O2.8,La,0.8,Sr,0.2,,,Ga,0.8,Mg,0.2,,,,,,,O,2.8,1074,32736460.02,837,1305373.807,853.591184,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.75Mg0.25O2.775,La,0.8,Sr,0.2,,,Ga,0.75,Mg,0.25,,,,,,,O,2.775,1140,72710764.58,875,2002686.325,856.1239706,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.8Sr0.2Ga0.7Mg0.3O2.75,La,0.8,Sr,0.2,,,Ga,0.7,Mg,0.3,,,,,,,O,2.75,1132,51546764.39,879,1734101.552,865.5492585,bulk,600 - 1100 K,two-probe AC,Table 3,-
