No.	Name	Composition	Strcture	OM	MinElectronegativityFromO	AveElectronegativityFromO	MaxElectronegativityFromO	StdDvElectronegativityFromO	SkewElectronegativityFromO	KurtoElectronegativityFromO	MinMass	AveMass	MaxMass	StdDvMass	SkewMass	KurtoMass	MinValence	AveValence	MaxValence	StdDvValence	SkewValence	KurtoValence	MinRadius06	AveRadius06	MaxRadius06	StdDvRadius06	SkewRadius06	KurtoRadius06	MinXensity	AveXensity	MaxXensity	StdDvXensity	SkewXensity	KurtoXensity	MinMolDensity	AveMolDensity	MaxMolDensity	StdDvMolDensity	SkewMolDensity	KurtoMolDensity	MinFilling	AveFilling	MaxFilling	StdDvFilling	SkewFilling	KurtoFilling	MinBulkModulus	AveBulkModulus	MaxBulkModulus	StdDvBulkModulus	SkewBulkModulus	KurtoBulkModulus	MinShearModulus	AveShearModulus	MaxShearModulus	StdDvShearModulus	SkewShearModulus	KurtoShearModulus	MinPoissonRatio	AvePoissonRatio	MaxPoissonRatio	StdDvPoissonRatio	SkewPoissonRatio	KurtoPoissonRatio	MinThermalConductivity	AveThermalConductivity	MaxThermalConductivity	StdDvThermalConductivity	SkewThermalConductivity	KurtoThermalConductivity	MinThermalExpansion	AveThermalExpansion	MaxThermalExpansion	StdDvThermalExpansion	SkewThermalExpansion	KurtoThermalExpansion	MinOuterPrincipal	AveOuterPrincipal	MaxOuterPrincipal	StdDvOuterPrincipal	SkewOuterPrincipal	KurtoOuterPrincipal	MinOuterAzimuthal	AveOuterAzimuthal	MaxOuterAzimuthal	StdDvOuterAzimuthal	SkewOuterAzimuthal	KurtoOuterAzimuthal	MinDebyeTemp	AveDebyeTemp	MaxDebyeTemp	StdDvDebyeTemp	SkewDebyeTemp	KurtoDebyeTemp	MinCoor	AveCoor	MaxCoor	StdDvCoor	SkewCoor	KurtoCoor	MinRadius	AveRadius	MaxRadius	StdDvRadius	SkewRadius	KurtoRadius	Ea	Log10A
1	1	La0.950Sr0.050Ga0.950Mg0.050O2.950	Perovskites	1.47500000000000000002	-2.49000000000000000001	-2.00124999999999999981	-1.63000000000000000000	0.35547283651497198469	0.06386054757464474258	1.04661291770593737748	24.30500000000000000028	101.89664824999999999389	138.90546999999999999709	36.02617819555939849066	-0.07471186922033683267	1.36968109619539287077	2.00000000000000000000	2.94999999999999999983	3.00000000000000000000	0.21794494717703367762	-4.12948320967011178349	18.05263157894736840599	0.62000000000000000000	0.83220000000000000001	1.17999999999999999995	0.20902047746572583122	0.02917287404220520059	1.09486149106032472681	1.74000000000000000001	5.83800000000000000010	6.15000000000000000009	0.85101175080018724738	-4.09456716695021698434	18.43681109500400489010	0.03013000000000000000	0.06383652500000000000	0.08476400000000000000	0.02048650966854468843	-0.01717523454440253534	1.09579905354931025094	0.05096000000000000000	0.08732122500000000000	0.12487800000000000000	0.03563072820367800173	-0.01277993493761972970	1.01300012695528341832	28.00000000000000000000	28.85000000000000000035	45.00000000000000000000	3.70506410200957251948	4.12948320967011178609	18.05263157894736841987	6.09999999999999999991	13.76666666666666666817	17.00000000000000000000	1.82921615618049526123	-3.24108056809740239027	15.15933270382279129604	0.28000000000000000000	0.28047619047619047622	0.28999999999999999999	0.00212958854999979971	4.24852915724960038431	19.04999999999999978073	13.00000000000000000000	24.82499999999999999896	160.00000000000000000000	23.11048192920260155141	4.94397617203091123720	29.29502717883501036397	0.00001200000000000000	0.00006390000000000000	0.00012000000000000000	0.00005342321592716036	0.09365006985510940957	1.01631312602985124957	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.45000002500000000000	2.00000000000000000000	0.54543553927116298149	-0.26345378806914784056	1.97139788945908593653	142.00000000000000000000	233.12500000000000000000	400.00000000000000000000	91.71073751202745616418	0.06770300078201071181	1.13893639367539108685	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	3.00000000000000000000	0.00000000000000000001	1.00000000000000000000	0.62000000000000000000	0.99449999999999999999	1.44000000000000000005	0.37002668822667372569	-0.00123278456661638417	1.01066922432087527909	772	5.585895626
2	2	La0.950Sr0.050Ga0.900Mg0.100O2.925	Perovskites	1.46249999999999999998	-2.49000000000000000001	-2.01374999999999999985	-1.63000000000000000000	0.35096073498327416167	0.14242460355619470509	1.08331127225420363624	24.30500000000000000028	100.76119824999999999293	138.90546999999999999709	37.69919461456205217117	-0.17724290209412705589	1.55081103063717367361	2.00000000000000000000	2.92499999999999999974	3.00000000000000000000	0.26339134382131847124	-3.22713718555849658027	11.41441441441441439521	0.62000000000000000000	0.83470000000000000001	1.17999999999999999995	0.20705629669246960624	0.01671912935719452539	1.10989580893234068804	1.74000000000000000001	5.73375000000000000031	6.15000000000000000009	1.06445452580183057821	-3.22411011599201263430	11.70333173765233298388	0.03013000000000000000	0.06350717500000000000	0.08476400000000000000	0.02025197610344173302	0.00483018269395801456	1.11820676908643863972	0.05096000000000000000	0.08773235000000000000	0.12487800000000000000	0.03530216285056058715	-0.02525025337010634188	1.02600014075287781297	28.00000000000000000000	29.61904761904761904968	45.00000000000000000000	4.99023990716536188861	2.75776415922296314715	8.60526315789473683626	6.09999999999999999991	13.91363636363636363622	17.00000000000000000000	1.90985374369715797530	-2.72895365796957659163	13.35473633951468729313	0.28000000000000000000	0.28090909090909090909	0.28999999999999999999	0.00287479787288034484	2.84604989415154139925	9.10000000000000000208	13.00000000000000000000	28.09999999999999999861	160.00000000000000000000	31.30079871185398361286	3.68838452115379508462	15.79200307364319116193	0.00001200000000000000	0.00006152500000000000	0.00012000000000000000	0.00005298631309121253	0.19098089025824698618	1.04828052853363344827	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.40000005000000000001	2.00000000000000000000	0.58309506943554882029	-0.36317247302221825452	2.27681386118594911746	142.00000000000000000000	235.12500000000000000000	400.00000000000000000000	94.41588518358550029264	0.11704675767039675769	1.22734465984847377815	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	2.99999999999999999978	0.00000000000000000002	1.00000000000000000043	0.62000000000000000000	0.99699999999999999999	1.44000000000000000005	0.36781924908846192686	-0.00564990188902359255	1.01591516454374481413	996	7.039913552
3	3	La0.950Sr0.050Ga0.850Mg0.150O2.900	Perovskites	1.45000000000000000004	-2.49000000000000000001	-2.02624999999999999990	-1.63000000000000000000	0.34593848802930268917	0.22209116579859214327	1.13433026602029416547	24.30500000000000000028	99.62574824999999999892	138.90546999999999999709	39.26823831533634559868	-0.24224337890557791749	1.63389178437709973622	2.00000000000000000000	2.90000000000000000009	3.00000000000000000000	0.30000000000000000001	-2.66666666666666666739	8.11111111111111111362	0.62000000000000000000	0.83720000000000000000	1.17999999999999999995	0.20504282479521198794	0.00496214032090677271	1.12539872575037418277	1.74000000000000000001	5.62950000000000000009	6.15000000000000000009	1.23295164138744711756	-2.67015698700823673399	8.30796046461316373480	0.03013000000000000000	0.06317782500000000000	0.08476400000000000000	0.02000927412337526551	0.02606630741579351370	1.14236856545516191432	0.05096000000000000000	0.08814347500000000000	0.12487800000000000000	0.03496567694181502616	-0.03709482187464604406	1.03925729318768569908	28.00000000000000000000	30.31818181818181818371	45.00000000000000000000	5.83396297270921567520	2.11925177130407008975	5.49122807017543859351	6.09999999999999999991	14.04782608695652173971	17.00000000000000000000	1.97106670860076506650	-2.41221743457353040348	12.15009267450209974517	0.28000000000000000000	0.28130434782608695654	0.28999999999999999999	0.00336781160539775381	2.19469056285086954838	5.81666666666666660806	13.00000000000000000000	31.37500000000000000000	160.00000000000000000000	37.46911227931614608508	2.97790426137805916656	10.44272026949847028722	0.00001200000000000000	0.00005915000000000000	0.00012000000000000000	0.00005243832091133354	0.28988362464942354771	1.10022373366047812170	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.35000007500000000001	2.00000000000000000000	0.61441012158009683541	-0.38479689432351734524	2.33309693690171422167	142.00000000000000000000	237.12500000000000000000	400.00000000000000000000	97.00442966689717103068	0.15206942763554206937	1.28038396592833231052	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	3.00000000000000000000	-0.00000000000000000001	1.00000000000000000000	0.62000000000000000000	0.99949999999999999999	1.44000000000000000005	0.36558138628765004453	-0.00972833817820244621	1.02097233443327079850	1118	7.704818403
4	4	La0.950Sr0.050Ga0.800Mg0.200O2.875	Perovskites	1.43750000000000000000	-2.49000000000000000001	-2.03874999999999999994	-1.63000000000000000000	0.34038351531764871879	0.30321393819556853951	1.20095929721564807953	24.30500000000000000028	98.49029824999999999796	138.90546999999999999709	40.74532258785631994719	-0.28126210166529742217	1.65821353634610623958	2.00000000000000000000	2.87500000000000000000	3.00000000000000000000	0.33071891388307382380	-2.26778683805536336354	6.14285714285714285832	0.62000000000000000000	0.83970000000000000000	1.17999999999999999995	0.20297859493059853182	-0.00601748315451118638	1.14126896813289545752	1.74000000000000000001	5.52525000000000000031	6.15000000000000000009	1.37314964133556835014	-2.27312375532764921653	6.28452517306722551090	0.03013000000000000000	0.06284847500000000000	0.08476400000000000000	0.01975810271633830230	0.04641344862451923880	1.16820583680198603418	0.05096000000000000000	0.08855460000000000000	0.12487800000000000000	0.03462103953580827994	-0.04824174828224974644	1.05266045666363710243	28.00000000000000000000	30.95652173913043478208	45.00000000000000000000	6.44358974262534351220	1.72061800402921324439	3.96052631578947368402	6.09999999999999999991	14.17083333333333333356	17.00000000000000000000	2.01772957526247527830	-2.20761587143716478225	11.31047348289951944532	0.28000000000000000000	0.28166666666666666664	0.28999999999999999999	0.00372677996249964949	1.78885438199983177869	4.20000000000000005057	13.00000000000000000000	34.65000000000000000139	160.00000000000000000000	42.50502911421188522237	2.50108284656800732319	7.59582755677209958689	0.00001200000000000000	0.00005677500000000000	0.00012000000000000000	0.00005177571221142207	0.39110899103158345880	1.17380415857982830304	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.30000009999999999990	2.00000000000000000000	0.64031222071743250466	-0.36567403492464653096	2.29446548947384722206	142.00000000000000000000	239.12500000000000000000	400.00000000000000000000	99.48547318578728054783	0.17590743926528941127	1.30835394128916651982	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	3.00000000000000000000	-0.00000000000000000001	1.00000000000000000000	0.62000000000000000000	1.00200000000000000004	1.44000000000000000005	0.36331253763116956327	-0.01344538047352100490	1.02579623372417774274	1152	7.707858465
5	5	La0.950Sr0.050Ga0.750Mg0.250O2.850	Perovskites	1.42499999999999999996	-2.49000000000000000001	-2.05124999999999999998	-1.63000000000000000000	0.33426925898143849505	0.38617615991502231024	1.28488286308094229449	24.30500000000000000028	97.35484824999999999701	138.90546999999999999709	42.14011855443574137634	-0.30183847666851245799	1.64713631379019065045	2.00000000000000000000	2.84999999999999999991	3.00000000000000000000	0.35707142142714249990	-1.96039211763921372407	4.84313725490196078172	0.62000000000000000000	0.84220000000000000005	1.17999999999999999995	0.20086204220807872687	-0.01612738062698756852	1.15738251617899211624	1.74000000000000000001	5.42100000000000000052	6.15000000000000000009	1.49304186143590763018	-1.96632274602737532239	4.95056951383668044113	0.03013000000000000000	0.06251912500000000000	0.08476400000000000000	0.01949813458024574719	0.06572746847008423688	1.19560429041929851084	0.05096000000000000000	0.08896572500000000000	0.12487800000000000000	0.03426800469168543522	-0.05860889310147904879	1.06607567266772482390	28.00000000000000000000	31.54166666666666666435	45.00000000000000000000	6.90397932757301610075	1.43636969291921573445	3.06315789473684210666	6.09999999999999999991	14.28399999999999999984	17.00000000000000000000	2.05322770291071223891	-2.07214925376810020887	10.70920296389409239086	0.28000000000000000000	0.28199999999999999999	0.28999999999999999999	0.00400000000000000000	1.50000000000000000846	3.25000000000000001691	13.00000000000000000000	37.92499999999999999931	160.00000000000000000000	46.77573489534931935191	2.14744035808180113323	5.83754435749622752278	0.00001200000000000000	0.00005440000000000000	0.00012000000000000000	0.00005099401925716387	0.49549863241083462801	1.27143140013843244061	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.25000012500000000002	2.00000000000000000000	0.66143759153839251305	-0.32396843754072765227	2.22448811661823573575	142.00000000000000000000	241.12500000000000000000	400.00000000000000000000	101.86687084130934469878	0.19090864815729796598	1.31850622905456919235	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	3.00000000000000000000	0.00000000000000000000	1.00000000000000000000	0.62000000000000000000	1.00449999999999999999	1.44000000000000000005	0.36101211891015514772	-0.01677645827717373230	1.03033755448287149233	1173	7.635331286
6	6	La0.950Sr0.050Ga0.700Mg0.300O2.825	Perovskites	1.41250000000000000002	-2.49000000000000000001	-2.06374999999999999981	-1.63000000000000000000	0.32756440206469322632	0.47139770515955922486	1.38827889576338858182	24.30500000000000000028	96.21939824999999999605	138.90546999999999999709	43.46054966714439102282	-0.30905010725836354994	1.61496556763279620493	2.00000000000000000000	2.82499999999999999983	3.00000000000000000000	0.37996710383926659080	-1.71067440689539936862	3.92640692640692640439	0.62000000000000000000	0.84470000000000000005	1.17999999999999999995	0.19869149453361107575	-0.02526148424991971060	1.17358762177601914944	1.74000000000000000001	5.31675000000000000031	6.15000000000000000009	1.59720754365235828609	-1.71680361304013331285	4.01130207302821246290	0.03013000000000000000	0.06218977500000000000	0.08476400000000000000	0.01922901293421934853	0.08383431944413963043	1.22440208512344525787	0.05096000000000000000	0.08937685000000000000	0.12487800000000000000	0.03390631010634303746	-0.06810220582200640151	1.07934141362545000479	28.00000000000000000000	32.08000000000000000167	45.00000000000000000000	7.26041321138129162362	1.21756155505620215491	2.48245614035087719179	6.09999999999999999991	14.38846153846153846315	17.00000000000000000000	2.08000128015436254523	-1.98165981359733468802	10.27203927387986944278	0.28000000000000000000	0.28230769230769230769	0.28999999999999999999	0.00421325044234743164	1.27801930084538759784	2.63333333333333333278	13.00000000000000000000	41.19999999999999999722	160.00000000000000000000	50.47583580288690970062	1.86782622734144260256	4.65028509037170929580	0.00001200000000000000	0.00005202500000000000	0.00012000000000000000	0.00005008766689515494	0.60402418583379078026	1.39646515556566529692	3.00000000000000000000	3.97499999999999999991	5.00000000000000000000	0.98710435111998164059	0.05000338933317814054	1.02817384706977754617	0.00000100000000000000	1.20000015000000000002	2.00000000000000000000	0.67823273291704780418	-0.26924073552513374987	2.15122743897431923385	142.00000000000000000000	243.12500000000000000000	400.00000000000000000000	104.15545773026010757667	0.19885639359826224543	1.31601934761592044391	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	3.00000000000000000000	0.00000000000000000000	1.00000000000000000000	0.62000000000000000000	1.00700000000000000004	1.44000000000000000005	0.35867952269400604854	-0.01969496707507479054	1.03454162525187380074	1157	7.381703309
7	7	La0.900Sr0.100Ga0.950Mg0.050O2.925	Perovskites	1.46249999999999999998	-2.49000000000000000001	-2.00499999999999999989	-1.63000000000000000000	0.35979160635012040253	0.05105472470582855088	1.06422002437444809526	24.30500000000000000028	100.61451149999999998830	138.90546999999999999709	35.59629033594333337789	0.00094299864507828059	1.40084082656782790916	2.00000000000000000000	2.92499999999999999996	3.00000000000000000000	0.26339134382131847121	-3.22713718555849658374	11.41441441441441441342	0.62000000000000000000	0.83590000000000000001	1.17999999999999999995	0.21378023762733542251	0.06258358138428517632	1.15049930945621378686	1.74000000000000000001	5.75024999999999999979	6.15000000000000000009	0.98476770738078124687	-3.23145270956906008829	11.86309376300408418257	0.03013000000000000000	0.06348290000000000000	0.08476400000000000000	0.02093821725792336887	-0.04932470804279748270	1.14806059499040010884	0.05096000000000000000	0.08737432499999999999	0.12487800000000000000	0.03568503492809520846	-0.01251547317117016862	1.01328083289973294614	28.00000000000000000000	28.89473684210526315680	45.00000000000000000000	3.79604693058041302582	4.00693842672376930635	17.05555555555555556288	6.09999999999999999991	13.39047619047619047585	17.00000000000000000000	2.44966562575477536288	-2.34494433124407864518	7.69923984397692129584	0.28000000000000000000	0.28047619047619047619	0.28999999999999999999	0.00212958854999979971	4.24852915724960042204	19.04999999999999999237	13.00000000000000000000	25.37500000000000000000	160.00000000000000000000	23.08428848806044530843	4.89483547005291894138	28.95754025569906543042	0.00001200000000000000	0.00006417500000000000	0.00012000000000000000	0.00005318312114759720	0.09127465992798536922	1.01881333795580837458	3.00000000000000000000	3.95000000000000000004	5.00000000000000000000	0.97339611669658925139	0.10002246351975868547	1.06290683022256876524	0.00000100000000000000	1.45000002500000000000	2.00000000000000000000	0.54543553927116298149	-0.26345378806914784056	1.97139788945908593653	142.00000000000000000000	233.25000000000000000000	400.00000000000000000000	91.58977835981480308120	0.06771182869097454809	1.13963420362690407632	6.00000000000000000000	8.99999999999999999913	12.00000000000000000000	2.99999999999999999978	0.00000000000000000081	1.00000000000000000022	0.62000000000000000000	0.99649999999999999998	1.44000000000000000005	0.37220659585773060291	0.00186347087210406041	1.01504917373387090675	783	5.823889002
8	8	La0.900Sr0.100Ga0.900Mg0.100O2.900	Perovskites	1.45000000000000000004	-2.49000000000000000001	-2.01749999999999999993	-1.63000000000000000000	0.35520240708643853445	0.12816940491692614612	1.10022977094615633583	24.30500000000000000028	99.47906149999999998734	138.90546999999999999709	37.24953745408958430407	-0.10838087047406290436	1.57792568383662752001	2.00000000000000000000	2.89999999999999999965	3.00000000000000000000	0.30000000000000000001	-2.66666666666666666284	8.11111111111111109800	0.62000000000000000000	0.83840000000000000001	1.17999999999999999995	0.21181652437900117711	0.05130911911920285629	1.16575906281170159980	1.74000000000000000001	5.64599999999999999957	6.15000000000000000009	1.16632499758857951003	-2.69253191050458888490	8.51265137808695297131	0.03013000000000000000	0.06315355000000000000	0.08476400000000000000	0.02070317528418044380	-0.02894664490591937527	1.17040747510241389560	0.05096000000000000000	0.08778545000000000000	0.12487800000000000000	0.03535635679686893306	-0.02494570116317085909	1.02625167459688001873	28.00000000000000000000	29.69999999999999999896	45.00000000000000000000	5.09999999999999999991	2.66666666666666666739	8.11111111111111111275	6.09999999999999999991	13.55454545454545454454	17.00000000000000000000	2.50866267755393254190	-2.14520897158307576524	7.41226312583287382484	0.28000000000000000000	0.28090909090909090906	0.28999999999999999999	0.00287479787288034484	2.84604989415154142722	9.10000000000000010790	13.00000000000000000000	28.64999999999999999965	160.00000000000000000000	31.22382904129472715182	3.66597609279993622271	15.68682426725382033240	0.00001200000000000000	0.00006180000000000000	0.00012000000000000000	0.00005275661096014413	0.18879487238001812562	1.05025168516130518940	3.00000000000000000000	3.95000000000000000004	5.00000000000000000000	0.97339611669658925139	0.10002246351975868547	1.06290683022256876534	0.00000100000000000000	1.40000005000000000001	2.00000000000000000000	0.58309506943554882029	-0.36317247302221825452	2.27681386118594911746	142.00000000000000000000	235.25000000000000000000	400.00000000000000000000	94.29574486688145357194	0.11719204299926888044	1.22826901626486645498	6.00000000000000000000	8.99999999999999999913	12.00000000000000000000	3.00000000000000000000	0.00000000000000000089	1.00000000000000000011	0.62000000000000000000	0.99899999999999999998	1.44000000000000000005	0.36999864864618086871	-0.00246586319766994060	1.02028152058761522464	993	7.13372116
9	9	La0.900Sr0.100Ga0.850Mg0.150O2.875	Perovskites	1.43750000000000000000	-2.49000000000000000001	-2.02999999999999999997	-1.63000000000000000000	0.35010712646274425697	0.20627700524450183275	1.15024940920968564569	24.30500000000000000028	98.34361149999999999333	138.90546999999999999709	38.79924872985909697562	-0.17864312705313243598	1.65813613933388398513	2.00000000000000000000	2.87500000000000000000	3.00000000000000000000	0.33071891388307382380	-2.26778683805536336376	6.14285714285714285789	0.62000000000000000000	0.84090000000000000001	1.17999999999999999995	0.20980464723165690641	0.04075722880425740315	1.18150707860039105347	1.74000000000000000001	5.54175000000000000022	6.15000000000000000009	1.31496176275205812545	-2.29589843639056239181	6.44900881764203241136	0.03013000000000000000	0.06282420000000000000	0.08476400000000000000	0.02046013315963510536	-0.00940040324594757786	1.19446669058367679439	0.05096000000000000000	0.08819657500000000000	0.12487800000000000000	0.03501976822516641100	-0.03675064820288137399	1.03947668570397697304	28.00000000000000000000	30.42857142857142857192	45.00000000000000000000	5.94876080390200395265	2.04124145231931508203	5.16666666666666666696	6.09999999999999999991	13.70434782608695652162	17.00000000000000000000	2.55214798890618464831	-2.01814287758463152631	7.21655528613099935334	0.28000000000000000000	0.28130434782608695652	0.28999999999999999999	0.00336781160539775381	2.19469056285086957245	5.81666666666666667832	13.00000000000000000000	31.92500000000000000104	160.00000000000000000000	37.35665101424376879913	2.96370605240927968097	10.39173963486169668252	0.00001200000000000000	0.00005942500000000000	0.00012000000000000000	0.00005221871671153936	0.28786657000479559670	1.10174296550451874751	3.00000000000000000000	3.95000000000000000004	5.00000000000000000000	0.97339611669658925139	0.10002246351975868545	1.06290683022256876534	0.00000100000000000000	1.35000007500000000001	2.00000000000000000000	0.61441012158009683541	-0.38479689432351734524	2.33309693690171422167	142.00000000000000000000	237.25000000000000000000	400.00000000000000000000	96.88491884705276461359	0.15230084096512305067	1.28140447522252986742	6.00000000000000000000	8.99999999999999999913	12.00000000000000000000	3.00000000000000000000	0.00000000000000000089	1.00000000000000000011	0.62000000000000000000	1.00150000000000000003	1.44000000000000000005	0.36776045192489091243	-0.00645810554526277662	1.02532739710518103681	1050	7.38952061
10	10	La0.900Sr0.100Ga0.800Mg0.200O2.850	Perovskites	1.42499999999999999996	-2.49000000000000000001	-2.04250000000000000002	-1.63000000000000000000	0.34448330873933500346	0.28570087156164663896	1.21551834248916833421	24.30500000000000000028	97.20816149999999999237	138.90546999999999999709	40.25738280184546162219	-0.22182320964814490253	1.68047325406803643797	2.00000000000000000000	2.85000000000000000013	3.00000000000000000000	0.35707142142714249990	-1.96039211763921372592	4.84313725490196078692	0.62000000000000000000	0.84340000000000000000	1.17999999999999999995	0.20774320686847981745	0.03100804421996235364	1.19765175282117584173	1.74000000000000000001	5.43750000000000000000	6.15000000000000000009	1.44090206121026837818	-1.98714440932285732987	5.07800067104359941807	0.03013000000000000000	0.06249485000000000000	0.08476400000000000000	0.02020880224376249370	0.00919102140347754514	1.22016550988200215048	0.05096000000000000000	0.08860769999999999999	0.12487800000000000000	0.03467503885520533919	-0.04785859885820793619	1.05284494292226235188	28.00000000000000000000	31.09090909090909090641	45.00000000000000000000	6.55680833463889522605	1.64991582276861089142	3.72222222222222222463	6.09999999999999999991	13.84166666666666666539	17.00000000000000000000	2.58374996640326807162	-1.93707377495910689489	7.08880734890813237782	0.28000000000000000000	0.28166666666666666661	0.28999999999999999999	0.00372677996249964949	1.78885438199983180113	4.20000000000000010521	13.00000000000000000000	35.20000000000000000069	160.00000000000000000000	42.36342762336399993608	2.49063270079543563288	7.56583614596072382731	0.00001200000000000000	0.00005705000000000000	0.00012000000000000000	0.00005156595291468975	0.38924391682394903836	1.17493619112504030287	3.00000000000000000000	3.95000000000000000004	5.00000000000000000000	0.97339611669658925139	0.10002246351975868547	1.06290683022256876534	0.00000100000000000000	1.30000009999999999990	2.00000000000000000000	0.64031222071743250466	-0.36567403492464653096	2.29446548947384722206	142.00000000000000000000	239.25000000000000000000	400.00000000000000000000	99.36643044811461878557	0.17618964814553936173	1.30939045660266078727	6.00000000000000000000	9.00000000000000000000	12.00000000000000000000	2.99999999999999999978	-0.00000000000000000001	1.00000000000000000043	0.62000000000000000000	1.00399999999999999997	1.44000000000000000005	0.36549144996839529352	-0.01009081432783731614	1.03014305796442967491	1111	7.642279998
